JobID	RequiredSkill
93473	Administrative
93475	Analytical
93475	Development
89129	Evaluative
89129	Critical Thinking
89259	Interpersonal
89259	Administrative
91397	Evaluative
91397	Management
89130	Interpersonal
89130	Administrative
89264	Critical Thinking
89264	Administrative
89271	Development
89272	Analytical
89272	Management
89465	Interpersonal
89465	Development
89131	Evaluative
89131	Development
89133	Interpersonal
89133	Critical Thinking
89134	Conceptual
89134	Development
89132	Analytical
89132	Administrative
89066	Management
89066	Critical Thinking
89135	Analytical
89135	Communication
89180	Communication
89180	Administrative
89249	Analytical
89249	Evaluative
89252	Interpersonal
89252	Management
89256	Evaluative
89256	Interpersonal
89251	Evaluative
89257	Critical Thinking
89268	Interpersonal
89268	Development
89951	Evaluative
89260	Analytical
89260	Communication
89263	Analytical
89263	Development
90825	Conceptual
90825	Administrative
91398	Administrative
91401	Conceptual
91401	Development
89265	Communication
89265	Management
89269	Evaluative
89269	Development
89270	Interpersonal
89270	Critical Thinking
89494	Communication
89494	Management
89496	Communication
89498	Evaluative
89577	Evaluative
89577	Communication
89578	Interpersonal
89578	Communication
89578	Development
89583	Evaluative
89583	Communication
89952	Conceptual
89952	Critical Thinking
90129	Development
90132	Evaluative
90132	Development
90516	Development
90516	Critical Thinking
90551	Evaluative
90551	Critical Thinking
89261	Analytical
89261	Critical Thinking
89261	Management
89262	Evaluative
89262	Interpersonal
89273	Communication
89273	Critical Thinking
89791	Interpersonal
89791	Management
89801	Interpersonal
89801	Communication
89801	Development
90204	Interpersonal
90204	Critical Thinking
90224	Evaluative
90224	Administrative
90229	Evaluative
90235	Evaluative
90235	Critical Thinking
90280	Conceptual
90280	Evaluative
90284	Conceptual
90284	Administrative
90286	Development
90286	Critical Thinking
90291	Evaluative
90316	Analytical
90316	Critical Thinking
90317	Management
90317	Critical Thinking
90317	Development
92675	Development
92675	Management
93193	Analytical
93193	Critical Thinking
93193	Management
93194	Conceptual
93194	Interpersonal
93202	Analytical
93202	Management
93195	Conceptual
93195	Administrative
93197	Critical Thinking
93197	Administrative
93198	Evaluative
93203	Evaluative
93203	Development
93196	Development
93196	Administrative
90674	Interpersonal
90674	Communication
90826	Development
90826	Administrative
91016	Development
91016	Critical Thinking
91402	Interpersonal
90827	Analytical
90827	Critical Thinking
90827	Management
90837	Management
90837	Critical Thinking
91403	Interpersonal
91403	Administrative
91405	Analytical
91405	Communication
90715	Communication
90715	Critical Thinking
90830	Interpersonal
90830	Communication
90833	Evaluative
90833	Management
90838	Critical Thinking
91245	Analytical
91313	Evaluative
91313	Interpersonal
91314	Interpersonal
91314	Administrative
91404	Interpersonal
91404	Management
92099	Communication
92099	Critical Thinking
91540	Analytical
91540	Critical Thinking
91540	Management
92101	Communication
92101	Management
92110	Conceptual
91543	Analytical
91543	Critical Thinking
91543	Management
92102	Interpersonal
92102	Communication
92102	Development
91989	Communication
91989	Management
92103	Analytical
92103	Administrative
91990	Analytical
91990	Critical Thinking
92104	Analytical
92104	Critical Thinking
91696	Evaluative
91696	Communication
92105	Analytical
92105	Administrative
91697	Communication
91697	Development
92106	Interpersonal
92106	Management
92096	Analytical
92096	Interpersonal
92107	Conceptual
92107	Management
92097	Analytical
92097	Critical Thinking
92108	Communication
92108	Administrative
91533	Analytical
91533	Management
92109	Evaluative
92109	Communication
88706	Interpersonal
88706	Administrative
88728	Evaluative
88728	Critical Thinking
88730	Evaluative
88730	Management
88708	Evaluative
88709	Analytical
88712	Development
88712	Administrative
88707	Interpersonal
88707	Communication
88710	Critical Thinking
88714	Development
88714	Management
88715	Evaluative
88715	Administrative
88725	Communication
88725	Administrative
88722	Analytical
88722	Conceptual
88722	Evaluative
88723	Management
88723	Administrative
88716	Analytical
88717	Communication
88720	Analytical
88720	Evaluative
88721	Management
88734	Analytical
88734	Conceptual
88764	Analytical
88764	Communication
88771	Analytical
88771	Development
88735	Evaluative
88735	Critical Thinking
88737	Management
88737	Critical Thinking
88737	Development
88742	Analytical
88742	Communication
88757	Conceptual
88757	Interpersonal
88769	Conceptual
88769	Critical Thinking
88774	Management
88774	Administrative
88758	Analytical
88758	Critical Thinking
88779	Communication
88779	Development
88780	Conceptual
88780	Management
88785	Evaluative
88785	Development
88802	Evaluative
88802	Interpersonal
88736	Communication
88736	Development
88744	Analytical
88744	Administrative
88759	Analytical
88759	Management
88869	Analytical
88869	Critical Thinking
88772	Analytical
88772	Critical Thinking
88743	Evaluative
88743	Communication
88766	Interpersonal
88773	Analytical
88773	Development
88770	Analytical
88770	Management
88781	Interpersonal
88781	Administrative
88782	Evaluative
88782	Communication
88782	Administrative
88755	Analytical
88755	Critical Thinking
88755	Management
88761	Interpersonal
88761	Development
88738	Evaluative
88738	Communication
88738	Administrative
88751	Development
88751	Management
88756	Development
88756	Critical Thinking
88762	Conceptual
88749	Conceptual
88749	Interpersonal
88763	Conceptual
88763	Critical Thinking
88765	Evaluative
88765	Communication
88784	Analytical
88784	Critical Thinking
88798	Communication
88797	Management
88797	Critical Thinking
88797	Development
88783	Management
88783	Critical Thinking
88786	Communication
88786	Development
88799	Critical Thinking
88794	Analytical
88794	Conceptual
88794	Evaluative
88800	Conceptual
88800	Evaluative
88817	Analytical
88817	Evaluative
88824	Conceptual
88824	Communication
88807	Conceptual
88807	Management
88753	Development
88795	Evaluative
88795	Critical Thinking
88803	Communication
88808	Management
88808	Critical Thinking
88808	Development
88791	Evaluative
88791	Development
88801	Evaluative
88801	Administrative
88839	Management
88839	Critical Thinking
88839	Development
88840	Analytical
88840	Communication
88811	Development
88841	Evaluative
88841	Communication
88841	Administrative
88813	Management
88813	Administrative
88842	Analytical
88842	Management
92831	Analytical
92831	Interpersonal
88815	Analytical
88815	Critical Thinking
88815	Management
88822	Critical Thinking
88822	Administrative
88849	Analytical
88849	Interpersonal
88857	Development
88857	Critical Thinking
88850	Development
88850	Administrative
88858	Management
88858	Critical Thinking
88858	Development
88816	Communication
88816	Development
88823	Management
88823	Administrative
88843	Evaluative
88843	Critical Thinking
88844	Management
88739	Evaluative
88739	Critical Thinking
88845	Communication
88845	Development
88838	Interpersonal
88838	Communication
88846	Evaluative
88834	Communication
88834	Critical Thinking
88847	Evaluative
88847	Critical Thinking
88833	Evaluative
88833	Development
88853	Evaluative
88853	Communication
88853	Administrative
88859	Interpersonal
88859	Management
88826	Conceptual
88826	Development
88854	Analytical
88854	Conceptual
88854	Evaluative
88856	Analytical
88747	Evaluative
88747	Development
88748	Development
88748	Critical Thinking
88775	Analytical
88775	Critical Thinking
88775	Management
88829	Evaluative
88829	Development
88855	Analytical
88855	Conceptual
88830	Interpersonal
88830	Communication
88830	Development
88848	Interpersonal
88848	Communication
88881	Analytical
88881	Management
93217	Interpersonal
93217	Development
93231	Conceptual
93231	Management
93264	Conceptual
93264	Communication
92327	Interpersonal
92327	Administrative
93214	Conceptual
93214	Evaluative
93216	Critical Thinking
93230	Interpersonal
93230	Communication
92359	Management
92359	Critical Thinking
92359	Development
92366	Interpersonal
92586	Interpersonal
92586	Development
93236	Evaluative
93241	Evaluative
93241	Interpersonal
93246	Interpersonal
93246	Communication
92360	Evaluative
92367	Analytical
92367	Evaluative
92600	Critical Thinking
92600	Administrative
93237	Analytical
93237	Management
93242	Analytical
93242	Interpersonal
93248	Conceptual
93248	Administrative
92362	Analytical
92362	Evaluative
93238	Management
93238	Critical Thinking
93238	Development
93239	Interpersonal
93239	Communication
93239	Development
93243	Critical Thinking
93243	Administrative
93249	Analytical
93249	Critical Thinking
92361	Management
92361	Administrative
92363	Analytical
92363	Evaluative
92368	Conceptual
92368	Critical Thinking
92601	Evaluative
92603	Interpersonal
92603	Administrative
93240	Analytical
93240	Conceptual
93240	Evaluative
93244	Evaluative
93244	Development
93247	Analytical
93247	Evaluative
92370	Administrative
92684	Analytical
92684	Critical Thinking
93251	Conceptual
93251	Critical Thinking
93268	Conceptual
93268	Development
92371	Management
92713	Interpersonal
92713	Development
93252	Evaluative
93269	Development
93269	Management
92372	Evaluative
92609	Evaluative
92609	Interpersonal
92615	Evaluative
92615	Management
93253	Analytical
93253	Management
93270	Analytical
93270	Administrative
92373	Critical Thinking
92373	Administrative
92612	Interpersonal
92612	Administrative
92618	Communication
92618	Critical Thinking
93254	Interpersonal
93254	Critical Thinking
93271	Analytical
93271	Critical Thinking
92543	Analytical
92543	Critical Thinking
92543	Management
93291	Conceptual
93291	Development
93465	Interpersonal
93467	Development
93467	Administrative
93472	Analytical
93472	Evaluative
92397	Administrative
92569	Development
92569	Management
93406	Communication
92399	Management
92491	Critical Thinking
92491	Administrative
93294	Evaluative
93294	Development
93317	Development
93317	Critical Thinking
92405	Conceptual
92405	Administrative
92475	Management
92475	Administrative
92492	Management
93295	Evaluative
93318	Evaluative
93318	Management
93330	Evaluative
93301	Analytical
93301	Evaluative
93302	Interpersonal
93302	Communication
93302	Development
92401	Interpersonal
92401	Administrative
93300	Analytical
93300	Communication
93303	Analytical
93303	Conceptual
93303	Evaluative
93307	Critical Thinking
92402	Analytical
92402	Conceptual
93296	Analytical
93296	Development
93297	Critical Thinking
92403	Conceptual
92403	Communication
93298	Evaluative
93298	Management
92408	Conceptual
92408	Critical Thinking
92493	Analytical
92493	Development
92495	Conceptual
92495	Management
93299	Management
93319	Communication
93319	Development
92474	Development
92474	Critical Thinking
93329	Evaluative
93329	Management
93371	Analytical
93371	Critical Thinking
93371	Management
92418	Communication
92418	Development
92512	Conceptual
92512	Development
92544	Communication
92544	Administrative
92574	Interpersonal
92574	Development
93372	Evaluative
93422	Evaluative
93425	Management
93425	Critical Thinking
93466	Evaluative
93466	Management
93468	Communication
93469	Evaluative
93469	Communication
93469	Administrative
92417	Conceptual
92417	Development
93375	Analytical
93375	Administrative
92427	Communication
92427	Management
92428	Evaluative
92428	Critical Thinking
93364	Interpersonal
93364	Development
93374	Interpersonal
93374	Management
93373	Conceptual
93373	Communication
92568	Communication
92568	Critical Thinking
93405	Evaluative
93405	Development
92570	Critical Thinking
93408	Interpersonal
93408	Communication
92571	Evaluative
92571	Administrative
93407	Critical Thinking
93421	Interpersonal
93421	Critical Thinking
92513	Development
92592	Analytical
93423	Communication
93423	Development
93426	Interpersonal
93426	Communication
93424	Development
93427	Analytical
89171	Interpersonal
89171	Administrative
89036	Analytical
89172	Development
89172	Critical Thinking
88966	Conceptual
88966	Management
88969	Communication
88970	Communication
88977	Interpersonal
88977	Communication
89064	Analytical
89064	Evaluative
89173	Analytical
89173	Conceptual
89173	Evaluative
88936	Interpersonal
88936	Development
88937	Interpersonal
88937	Communication
88940	Evaluative
88940	Management
88941	Analytical
88941	Critical Thinking
88941	Management
88943	Development
88961	Analytical
88961	Critical Thinking
88961	Management
88951	Interpersonal
88951	Critical Thinking
88953	Analytical
88953	Critical Thinking
88954	Evaluative
88954	Management
88960	Analytical
88960	Administrative
88947	Evaluative
88963	Interpersonal
88963	Communication
88957	Evaluative
88957	Development
88958	Analytical
88958	Communication
88944	Interpersonal
88955	Interpersonal
88955	Development
88962	Evaluative
88962	Communication
88965	Communication
88965	Management
88978	Interpersonal
88978	Administrative
88979	Management
88979	Critical Thinking
88971	Analytical
88971	Development
88973	Interpersonal
89024	Administrative
89026	Conceptual
89026	Communication
89030	Interpersonal
89030	Development
89091	Analytical
89091	Management
89160	Communication
89160	Development
89167	Communication
89167	Critical Thinking
88976	Communication
88976	Development
89144	Analytical
89144	Conceptual
89144	Evaluative
89145	Conceptual
89145	Management
89146	Development
89146	Administrative
89102	Analytical
89102	Interpersonal
89147	Interpersonal
89147	Management
89148	Evaluative
89105	Interpersonal
89105	Management
89150	Analytical
89150	Evaluative
89113	Interpersonal
89113	Critical Thinking
89151	Analytical
89151	Interpersonal
89106	Conceptual
89106	Administrative
89152	Interpersonal
89152	Development
89153	Evaluative
89153	Communication
89154	Analytical
89154	Conceptual
89155	Critical Thinking
88982	Analytical
88982	Administrative
88990	Evaluative
88990	Management
88989	Interpersonal
88989	Development
88991	Evaluative
88991	Interpersonal
88984	Analytical
88984	Management
88985	Management
88986	Development
88986	Critical Thinking
88983	Conceptual
88983	Critical Thinking
88987	Conceptual
88987	Interpersonal
88998	Interpersonal
88998	Communication
88997	Conceptual
88997	Communication
88999	Conceptual
88999	Administrative
88996	Development
88996	Management
89000	Analytical
89001	Analytical
89001	Conceptual
88995	Communication
88995	Development
89002	Conceptual
89002	Interpersonal
89004	Management
89011	Analytical
89011	Evaluative
89017	Conceptual
89017	Communication
89023	Communication
89028	Development
89028	Management
89034	Analytical
89034	Development
89069	Analytical
89069	Critical Thinking
89018	Administrative
89019	Communication
89021	Interpersonal
89021	Critical Thinking
89015	Evaluative
89015	Management
89008	Evaluative
89008	Administrative
89012	Development
89012	Critical Thinking
89020	Conceptual
89020	Communication
89063	Critical Thinking
89175	Evaluative
89175	Interpersonal
89067	Management
89067	Administrative
89176	Analytical
89176	Conceptual
89055	Conceptual
89055	Development
89057	Interpersonal
89057	Development
89177	Development
89177	Administrative
89051	Interpersonal
89051	Management
89059	Evaluative
89059	Administrative
89060	Interpersonal
89060	Critical Thinking
89178	Communication
89178	Development
89179	Conceptual
89179	Interpersonal
89052	Conceptual
89052	Management
89016	Management
89016	Critical Thinking
89027	Management
89027	Critical Thinking
89027	Development
89037	Conceptual
89037	Interpersonal
89115	Analytical
89115	Communication
89163	Conceptual
89163	Communication
89158	Interpersonal
89158	Critical Thinking
89164	Development
89164	Management
89076	Analytical
89076	Management
89159	Interpersonal
89159	Management
89166	Development
89166	Administrative
89168	Conceptual
89168	Development
89161	Analytical
89161	Conceptual
89161	Evaluative
89165	Analytical
89165	Evaluative
89169	Interpersonal
89169	Communication
89040	Analytical
89040	Interpersonal
89047	Management
89047	Administrative
89041	Communication
89041	Management
89184	Conceptual
89184	Management
89185	Evaluative
89185	Interpersonal
89201	Conceptual
89211	Conceptual
89211	Evaluative
89186	Development
89186	Administrative
89191	Interpersonal
89191	Management
89192	Management
89192	Administrative
89193	Interpersonal
89193	Management
89209	Critical Thinking
89217	Interpersonal
89217	Administrative
89235	Analytical
89235	Management
89236	Analytical
89236	Conceptual
89242	Management
89253	Evaluative
89253	Administrative
89187	Development
89187	Administrative
89204	Interpersonal
89204	Development
89210	Critical Thinking
89216	Conceptual
89216	Critical Thinking
89218	Conceptual
89218	Interpersonal
89228	Communication
89190	Communication
89190	Critical Thinking
89200	Evaluative
89200	Management
89219	Conceptual
89219	Interpersonal
89207	Evaluative
89207	Management
89188	Communication
89188	Critical Thinking
89194	Conceptual
89194	Communication
89202	Critical Thinking
89214	Communication
89214	Management
89215	Conceptual
89215	Communication
89227	Interpersonal
89227	Development
89195	Conceptual
89195	Interpersonal
89199	Administrative
89196	Conceptual
89196	Communication
89206	Analytical
89206	Critical Thinking
89206	Management
89212	Evaluative
89212	Communication
89212	Administrative
89220	Development
89224	Interpersonal
89224	Management
89203	Management
89203	Critical Thinking
89203	Development
89213	Conceptual
89213	Interpersonal
89225	Communication
89221	Interpersonal
89221	Management
89222	Development
89222	Management
89226	Critical Thinking
89244	Interpersonal
89244	Critical Thinking
89230	Management
89230	Critical Thinking
89241	Evaluative
89241	Management
89243	Interpersonal
89243	Administrative
89234	Conceptual
89234	Evaluative
89189	Communication
89189	Administrative
89245	Interpersonal
89245	Communication
89245	Development
89246	Interpersonal
89246	Critical Thinking
89639	Conceptual
89639	Communication
89692	Interpersonal
89692	Administrative
89708	Interpersonal
89708	Development
89728	Analytical
89728	Evaluative
89961	Conceptual
89961	Development
90007	Development
90007	Management
89640	Analytical
89640	Interpersonal
89695	Administrative
89962	Evaluative
89962	Critical Thinking
89622	Interpersonal
89622	Communication
89622	Development
89645	Analytical
89645	Conceptual
89645	Evaluative
89696	Development
89696	Administrative
89709	Development
89732	Interpersonal
89732	Development
89733	Evaluative
89733	Administrative
89976	Critical Thinking
89976	Administrative
89980	Analytical
89980	Communication
90008	Analytical
89579	Critical Thinking
89579	Administrative
89638	Analytical
89638	Critical Thinking
89638	Management
89647	Interpersonal
89647	Communication
89647	Development
89963	Administrative
89978	Conceptual
89978	Development
90518	Interpersonal
90518	Administrative
90554	Analytical
90556	Management
90559	Analytical
90559	Conceptual
89625	Evaluative
89625	Management
89643	Evaluative
89643	Interpersonal
89699	Analytical
89699	Critical Thinking
89964	Conceptual
89964	Management
89626	Evaluative
89626	Critical Thinking
89648	Communication
89648	Critical Thinking
89966	Analytical
89966	Communication
89668	Management
89668	Administrative
89712	Communication
89712	Development
89729	Management
89729	Administrative
89965	Management
90011	Conceptual
90011	Administrative
90012	Evaluative
90012	Communication
89463	Development
89985	Management
89985	Administrative
90135	Analytical
90135	Conceptual
90135	Evaluative
90395	Development
90395	Critical Thinking
89471	Analytical
89471	Evaluative
89984	Development
89984	Administrative
90142	Analytical
90142	Communication
90401	Communication
90401	Management
89975	Conceptual
89975	Administrative
89981	Critical Thinking
89981	Administrative
90438	Interpersonal
90438	Development
90439	Communication
90447	Interpersonal
89986	Analytical
89986	Conceptual
89986	Evaluative
89979	Communication
89979	Administrative
89967	Analytical
89967	Evaluative
90617	Conceptual
90617	Evaluative
89755	Conceptual
89755	Administrative
89757	Management
89968	Administrative
90077	Analytical
90077	Critical Thinking
89627	Analytical
89627	Conceptual
89627	Evaluative
89628	Analytical
89628	Administrative
89650	Evaluative
89650	Interpersonal
89725	Evaluative
89725	Development
89958	Analytical
89958	Evaluative
89959	Evaluative
89959	Administrative
89651	Conceptual
89651	Development
89669	Management
89669	Critical Thinking
89672	Analytical
89672	Interpersonal
89676	Communication
89676	Administrative
89653	Communication
89653	Critical Thinking
89675	Interpersonal
89675	Management
89449	Conceptual
89449	Communication
89969	Analytical
89969	Management
90097	Evaluative
90097	Administrative
90098	Evaluative
90098	Critical Thinking
90378	Development
89395	Interpersonal
89395	Communication
89395	Development
89825	Management
89825	Critical Thinking
89825	Development
89829	Evaluative
89829	Communication
89549	Evaluative
89549	Interpersonal
89587	Development
89587	Critical Thinking
90509	Analytical
90509	Administrative
90511	Evaluative
90511	Interpersonal
90586	Evaluative
90586	Critical Thinking
89766	Interpersonal
89766	Communication
89786	Analytical
89786	Conceptual
89788	Interpersonal
89788	Critical Thinking
89800	Analytical
89800	Development
90228	Critical Thinking
90297	Administrative
90301	Development
89629	Interpersonal
89629	Communication
89629	Development
89630	Development
89630	Critical Thinking
89658	Analytical
89658	Critical Thinking
89972	Development
89632	Conceptual
89632	Interpersonal
89633	Interpersonal
89633	Management
89637	Communication
89637	Critical Thinking
89664	Evaluative
89664	Communication
89664	Administrative
89973	Evaluative
89973	Development
89982	Conceptual
89982	Administrative
89401	Analytical
89401	Management
89635	Interpersonal
89635	Communication
89662	Conceptual
89662	Management
89636	Analytical
89636	Development
89663	Conceptual
89663	Administrative
89706	Analytical
89706	Conceptual
89974	Management
89983	Analytical
89983	Communication
89634	Management
89665	Development
89665	Critical Thinking
92286	Conceptual
92286	Administrative
89737	Conceptual
89737	Critical Thinking
89988	Critical Thinking
89748	Conceptual
89989	Conceptual
89989	Management
89550	Conceptual
89550	Evaluative
89998	Interpersonal
89998	Communication
89998	Development
90005	Analytical
90486	Interpersonal
90486	Communication
90487	Interpersonal
90487	Critical Thinking
90569	Analytical
90569	Interpersonal
90575	Conceptual
90575	Communication
93739	Interpersonal
93739	Management
89990	Analytical
89990	Evaluative
90079	Communication
89740	Communication
89740	Critical Thinking
89992	Interpersonal
89992	Administrative
90001	Critical Thinking
89993	Management
89741	Development
89680	Interpersonal
89680	Critical Thinking
89684	Conceptual
90002	Communication
90002	Development
89671	Analytical
89671	Development
89674	Conceptual
89674	Administrative
89678	Conceptual
89678	Interpersonal
89682	Communication
89685	Conceptual
89685	Administrative
89994	Conceptual
89994	Evaluative
90000	Conceptual
90000	Communication
90003	Conceptual
90003	Critical Thinking
89752	Management
89996	Analytical
89996	Critical Thinking
89999	Evaluative
89999	Administrative
90004	Communication
90004	Management
90076	Analytical
90076	Interpersonal
89548	Critical Thinking
89560	Administrative
90009	Conceptual
90009	Development
90493	Management
90493	Critical Thinking
90494	Analytical
90494	Conceptual
90494	Evaluative
90577	Evaluative
90577	Interpersonal
90579	Management
90579	Administrative
90610	Evaluative
90610	Critical Thinking
89778	Communication
90010	Development
90010	Administrative
90157	Analytical
90161	Evaluative
90161	Critical Thinking
89305	Evaluative
89305	Development
89323	Evaluative
89323	Management
89597	Conceptual
89597	Communication
90054	Evaluative
90054	Critical Thinking
90081	Conceptual
90081	Communication
92626	Analytical
92626	Communication
89318	Conceptual
89318	Management
89321	Management
89321	Administrative
89324	Analytical
89324	Conceptual
89324	Evaluative
89325	Interpersonal
89325	Development
89598	Conceptual
89598	Communication
90055	Management
90055	Critical Thinking
90082	Conceptual
90082	Development
92627	Analytical
92627	Development
89347	Evaluative
89347	Interpersonal
89435	Evaluative
89435	Interpersonal
90072	Interpersonal
90072	Critical Thinking
90073	Analytical
90073	Conceptual
89751	Communication
89751	Administrative
90075	Management
90075	Critical Thinking
90075	Development
89490	Evaluative
89490	Communication
89571	Conceptual
89571	Development
90126	Analytical
90126	Development
90415	Evaluative
90415	Communication
90514	Conceptual
90514	Interpersonal
90549	Evaluative
90549	Interpersonal
89380	Analytical
89380	Administrative
89383	Development
89383	Administrative
89389	Interpersonal
89389	Management
89572	Analytical
90515	Analytical
90515	Critical Thinking
90550	Interpersonal
90550	Development
89594	Management
89594	Critical Thinking
89594	Development
89691	Analytical
89702	Interpersonal
89702	Development
89705	Management
89705	Administrative
90506	Management
90506	Critical Thinking
90536	Communication
90536	Critical Thinking
90539	Management
90539	Administrative
90548	Interpersonal
90552	Analytical
90552	Management
89573	Analytical
89573	Conceptual
89573	Evaluative
89935	Analytical
89935	Conceptual
90519	Development
90519	Critical Thinking
90555	Management
90555	Critical Thinking
90555	Development
90557	Interpersonal
90557	Communication
90557	Development
89574	Interpersonal
89624	Interpersonal
89624	Communication
89641	Analytical
89641	Critical Thinking
89641	Management
89698	Communication
89698	Critical Thinking
90520	Critical Thinking
90520	Administrative
90553	Conceptual
90553	Development
89407	Analytical
89407	Critical Thinking
89407	Management
89840	Evaluative
89840	Development
92605	Management
92605	Critical Thinking
89398	Conceptual
89398	Administrative
89408	Communication
89408	Critical Thinking
89834	Conceptual
89834	Critical Thinking
89842	Evaluative
89842	Critical Thinking
89843	Conceptual
89843	Administrative
92606	Analytical
92606	Management
89409	Analytical
89409	Conceptual
89841	Management
89841	Critical Thinking
89841	Development
89600	Analytical
89600	Development
90085	Evaluative
90085	Critical Thinking
90089	Conceptual
90089	Management
89601	Interpersonal
89601	Communication
90083	Development
90083	Administrative
90087	Analytical
90087	Development
89602	Development
89602	Administrative
89603	Conceptual
89603	Critical Thinking
90084	Development
90084	Administrative
89605	Analytical
89605	Communication
89604	Management
89604	Critical Thinking
89604	Development
90088	Analytical
90091	Evaluative
89606	Analytical
89606	Evaluative
90086	Conceptual
90086	Administrative
89871	Interpersonal
89871	Administrative
89433	Communication
89433	Administrative
89863	Evaluative
89863	Administrative
89872	Critical Thinking
89432	Communication
89432	Management
89721	Interpersonal
89721	Communication
89721	Development
89867	Conceptual
89867	Development
89869	Communication
89873	Interpersonal
89873	Communication
89426	Analytical
89426	Critical Thinking
89864	Development
89874	Evaluative
89874	Communication
89875	Administrative
89427	Evaluative
89865	Interpersonal
89865	Development
90133	Evaluative
90133	Development
89536	Interpersonal
89536	Development
89947	Evaluative
89947	Administrative
89953	Evaluative
89953	Communication
89953	Administrative
90196	Critical Thinking
90196	Administrative
89759	Analytical
89759	Interpersonal
89821	Management
89821	Critical Thinking
90208	Management
90208	Administrative
90210	Conceptual
90210	Development
