eventname	eventdate	ordernum	contentabst	contact	presenter	jobid	postdate
Arts Education Conference	2016-11-10	2	Unemployment rates compared to a decade ago.	34841	120336	92120	2015-06-08
Arts Education Conference	2016-11-10	3	Why technology is a bad thing for growing minds.	12418	374578	92117	2015-10-07
Arts Education Conference	2017-02-24	1	Opening Speech	1322947	295	92111	2015-03-20
Arts Education Conference	2017-02-24	2	What Should We Do To Prevent Abuse Of Animals Effectively	25596	454306	92134	2015-11-07
Arts Education Conference	2017-02-24	3	What it's like to be falling in love.	3118544	374576	92114	2015-10-07
ASEAN Engineering Deans Summit	2015-04-13	1	Opening Speech	2972730	295	92111	2015-03-20
ASEAN Engineering Deans Summit	2016-03-13	1	Opening Speech	12415	374586	92175	2015-10-07
ASEAN Engineering Deans Summit	2016-03-13	2	The latest discoveries in astronomy.	3040232	374586	92175	2015-10-07
ASEAN Engineering Deans Summit	2016-03-13	3	The different types of personalities.	25508	374586	92175	2015-10-07
ASEAN Engineering Deans Summit	2016-03-13	4	Three ways to measure Emotional Intelligence.	2818621	295	92111	2015-03-20
ASEAN Engineering Deans Summit	2016-03-13	5	The body's coping mechanisms when in a state of shock.	25597	454306	92134	2015-11-07
ASEAN Engineering Deans Summit	2017-10-16	1	Opening Speech	870435	374578	92098	2015-10-07
ASEAN Engineering Deans Summit	2017-10-16	2	Ergonomics in the workspace-chairs, tables and desks, physical poses that are good for people who sit all day.	2721454	308	92122	2017-04-24
ASEAN Engineering Deans Summit	2017-10-16	3	Creative accounting and the financial accounting standards. What is right and what is wrong? What are the gray zones you have to avoid?	25449	295	92111	2015-03-20
ASEAN Engineering Deans Summit	2017-10-16	4	Change doesn't equal progress.	12599	374588	92128	2017-05-07
ASEAN Engineering Deans Summit	2017-10-16	5	Stress management-reduce, prevent and cope with stress.	3566637	374576	92114	2015-10-07
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2015-05-21	1	Opening Speech	2939607	306	92179	2015-03-20
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2015-05-21	2	Reducing The Illegal Cut-Down Of Trees	2721521	306	92179	2015-03-20
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2015-05-21	3	How to present yourself with confidence.	34769	300	92098	2015-03-20
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2015-05-21	4	The line between the human brain and a computer.	2834777	310	92172	2015-03-20
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2015-05-21	5	How Do Companies Foster Civil And Social Responsibility	25705	310	92172	2015-03-20
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2015-05-21	6	How to build a computer.	12781	308	92170	2015-03-20
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2016-01-19	1	Opening Speech	34861	374588	92172	2015-10-07
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2016-01-19	2	What are the effects of self-harm?	38764	374588	92172	2015-10-07
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2017-05-09	1	Opening Speech	2682345	374576	92114	2015-10-07
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2017-05-09	2	Multiple Sclerosis symptoms, causes, treatment and life expectancy.	301	454306	92134	2015-11-07
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2017-05-09	3	The importance of childhood cancer awareness.	78563	295	92111	2015-03-20
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2016-08-24	1	Opening Speech	2282954	374578	92117	2015-10-07
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2016-08-24	2	The influence of global warming on Alpine skiing.	25868	374578	92117	2015-10-07
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	1	Opening Speech	3624618	295	92111	2015-03-20
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	2	The Growth Of Business In Developing And Undeveloped Countries	12418	374586	92120	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	3	The benefits of wind resistant technology.	3259290	374576	92114	2015-10-07
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	4	The effects of caffeine on the body.	26028	374588	92128	2017-05-07
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	5	How our culture affects organ donation.	12497	454306	92134	2015-11-07
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	6	How to avoid computer viruses.	12751	308	92122	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	7	Safety issues of nuclear power plants.	2682323	374586	92120	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	8	How Are Human Activities Causing Landslides	3532179	374586	92120	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	9	How to be a good leader.	3434725	454306	92134	2015-11-07
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	10	The most dangerous jobs.	12493	374576	92114	2015-10-07
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2018-01-31	1	Opening Speech	34795	308	92122	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2018-01-31	2	Why classes in school should be 45 minutes long.	2047842	295	92111	2015-03-20
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2016-11-25	1	Opening Speech	3416	374586	92122	2016-08-15
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2016-11-25	2	How to earn income as a student.	25832	120336	92120	2015-06-08
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2016-11-25	3	The major technological changes since 1990.	1309950	374588	92124	2016-08-07
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2016-11-25	4	How Have Global Corporations Influenced People's Decisions?	1309835	374586	92122	2016-08-15
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2016-11-25	5	Methods Of Determining The Most Effective And Appropriate Marketing Strategy	25738	374586	92122	2016-08-15
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2017-09-18	1	Opening Speech	25628	308	92122	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2017-09-18	2	Why the brain is so important.	25918	374588	92128	2017-05-07
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2017-09-18	3	The trauma of shooting incidents last a lifetime.	374589	374586	92120	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2017-09-18	4	How to ace the GRE.	2808566	308	92122	2017-04-24
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2017-09-18	5	Interesting Tips For Developing A Business Organization	307791	454306	92134	2015-11-07
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2018-06-12	1	Opening Speech	38766	374578	92098	2015-10-07
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2018-06-12	2	Cardiovascular exercises that really work.	330	295	92111	2015-03-20
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2018-06-12	3	How to deal with grant-making foundations and grant writing.	851955	3404254	92120	2018-05-07
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2018-06-12	4	Your actions determine your future.	159106	454306	92134	2015-11-07
ASEAN Schools Games Closing Ceremony	2015-05-17	1	Opening Speech	2447946	300	92098	2015-03-20
ASEAN Schools Games Closing Ceremony	2015-05-17	2	The difference between hardware and software.	466644	298	92114	2015-03-20
ASEAN Schools Games Closing Ceremony	2015-05-17	3	Dancing is your secret weapon for happiness and health.	2673034	300	92098	2015-03-20
ASEAN Schools Games Closing Ceremony	2016-10-23	1	Opening Speech	25784	374578	92117	2015-10-07
ASEAN Schools Games Closing Ceremony	2016-10-23	2	How roads are built.	2826317	374576	92114	2015-10-07
ASEAN Schools Games Closing Ceremony	2016-10-23	3	Disadvantages of raw food diets-the flip-side topics to talk about are the	2447945	374588	92124	2016-08-07
ASEAN Schools Games Closing Ceremony	2016-10-23	4	The way in which business owners' individual traits can exert an influence on their company	2673053	374578	92117	2015-10-07
ASEAN Schools Games Closing Ceremony	2016-10-23	5	How the Earth was formed.	12456	454306	92134	2015-11-07
ASEAN Schools Games Closing Ceremony	2016-10-23	6	The Alice in Wonderland syndrome.	3227555	374586	92122	2016-08-15
ASEAN Schools Games Closing Ceremony	2016-10-23	7	The reasons shops should be closed on Sunday.	3574975	454306	92134	2015-11-07
ASEAN Schools Games Closing Ceremony	2017-12-02	1	Opening Speech	12715	454306	92134	2015-11-07
ASEAN Schools Games Closing Ceremony	2017-12-02	2	How to uncover false qualifications and licenses.	12520	2649564	92120	2017-09-22
ASEAN Schools Games Closing Ceremony	2017-12-02	3	The evolution of video games.	38755	2649564	92120	2017-09-22
ASEAN Schools Games Closing Ceremony	2017-12-02	4	How roads are built.	2673061	374578	92098	2015-10-07
ASEAN Schools Games Closing Ceremony	2017-12-02	5	Aggression is a real presence in society.	38745	308	92122	2017-04-24
ASEAN Schools Games Send-Off Ceremony	2015-12-15	1	Opening Speech	12795	308	92170	2015-03-20
ASEAN Schools Games Send-Off Ceremony	2015-12-15	2	Growth Of The Foster Care System In The Country	3575054	374586	92175	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2015-12-15	3	Global concern about climate change rose dramatically after Al Gore made his documentary.	34799	374586	92175	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2015-12-15	4	Single Parenting And How It Affects College Students	720964	120336	92120	2015-06-08
ASEAN Schools Games Send-Off Ceremony	2015-12-15	5	Improving the active learning curve in education.	2895917	374578	92098	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2015-12-15	6	Store fixtures (offer ten solid examples and their benefits) like displays, goodie racks, inventive approaches, etc:	12759	374578	92098	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2015-12-15	7	How to deal with grant-making foundations and grant writing.	165002	295	92111	2015-03-20
ASEAN Schools Games Send-Off Ceremony	2016-07-23	1	Opening Speech	328	374578	92098	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2016-07-23	2	The best butterfly collecting methods.	34725	374576	92114	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2016-07-23	3	Why do people apply to life extension nutrition-there is no life elixir or cocktail?	1322852	374578	92098	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2017-02-17	1	Opening Speech	12543	374576	92114	2015-10-07
ASEAN Schools Games Send-Off Ceremony	2017-02-17	2	Telecommuting, job sharing, part-time and other flexible work arrangements.	25569	374588	92124	2016-08-07
ASEAN Schools Games Send-Off Ceremony	2017-02-17	3	Store fixtures (offer ten solid examples and their benefits) like displays, goodie racks, inventive approaches, etc:	173645	374588	92124	2016-08-07
ASEAN Schools Games Send-Off Ceremony	2017-02-17	4	Parenting solutions to discipline children and toddlers without arguing and yelling.	25934	374586	92122	2016-08-15
ASEAN Schools Games Send-Off Ceremony	2017-02-17	5	How school does not prepare you for the real world.	25817	374578	92098	2015-10-07
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	1	Opening Speech	2214476	300	92098	2015-03-20
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	2	The impacts of the cost and request of the commodities generated by farming and agriculture	186689	295	92111	2015-03-20
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	3	How drinking too much can affect your health.	3764099	310	92172	2015-03-20
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	4	How to avoid pesticides in vegetables.	3694409	308	92170	2015-03-20
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	5	Should Adopted Children Have The Chance Of Seeing Their Biological Parents	25885	120336	92120	2015-06-08
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	6	How to earn income as a student.	12762	308	92170	2015-03-20
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	7	Overcoming your fear of public speaking.	2682315	304	92177	2015-03-20
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	8	The benefits of personality development camps for students.	26017	300	92117	2015-03-20
ASEAN Strategic Policy Dialogue on Disaster Management	2016-10-30	1	Opening Speech	25502	374578	92098	2015-10-07
ASEAN Strategic Policy Dialogue on Disaster Management	2016-10-30	2	When Do Most Babies Begin Talking?	320486	374578	92117	2015-10-07
ASEAN Strategic Policy Dialogue on Disaster Management	2016-10-30	3	The considerable shortage of women in Alaska	25891	120336	92120	2015-06-08
ASEAN Strategic Policy Dialogue on Disaster Management	2016-10-30	4	South-American tropical forests.	1993036	374586	92122	2016-08-15
ASEAN Strategic Policy Dialogue on Disaster Management	2017-12-09	1	Opening Speech	2808402	2649564	92120	2017-09-22
ASEAN Strategic Policy Dialogue on Disaster Management	2017-12-09	2	The importance of sustainable development for future generations.	25942	374588	92128	2017-05-07
ASEAN Terrorism Talks	2015-09-07	1	Opening Speech	25505	300	92098	2015-03-20
ASEAN Terrorism Talks	2015-09-07	2	The Essence Of Education In Building An Industrial Society	34871	306	92179	2015-03-20
ASEAN Terrorism Talks	2015-09-07	3	Dental care how to prevent tooth decay.	3321960	298	92114	2015-03-20
ASEAN Terrorism Talks	2015-09-07	4	Antivirus software: beware of malware functions.	2834766	304	92177	2015-03-20
ASEAN Terrorism Talks	2015-09-07	5	What if your commercial or industrial enterprise grows too fast.	34852	308	92170	2015-03-20
ASEAN Terrorism Talks	2016-01-30	1	Opening Speech	12678	374576	92114	2015-10-07
ASEAN Terrorism Talks	2016-01-30	2	How cellular phones work.	38750	374576	92114	2015-10-07
ASEAN Terrorism Talks	2016-01-30	3	The negative aspects of living in an era of apathy.	2808402	454306	92134	2015-11-07
ASEAN Terrorism Talks	2016-01-30	4	Hiring people and closing deals for the long term with highly skilled young urban professionals.	12791	374578	92098	2015-10-07
ASEAN Terrorism Talks	2016-01-30	5	How Can We Continue Benefiting From The World Wide Web	2086194	374578	92098	2015-10-07
ASEAN Terrorism Talks	2016-01-30	6	Quality control and tracking if everything went well as you planned it should be.	25446	374586	92175	2015-10-07
ASEAN Terrorism Talks	2017-09-23	1	Opening Speech	2124671	374578	92117	2015-10-07
ASEAN Terrorism Talks	2017-09-23	2	Proper Email Etiquette	38766	374576	92114	2015-10-07
ASEAN Terrorism Talks	2017-09-23	3	The Effects Of Divorce On Young Children	26017	374588	92128	2017-05-07
ASEAN Terrorism Talks	2017-09-23	4	Computers benefit students in school.	25568	454306	92134	2015-11-07
Asian Downstream Summit and Exhibition	2016-04-17	1	Opening Speech	25770	374578	92117	2015-10-07
Asian Downstream Summit and Exhibition	2016-04-17	2	Successful tendering in oter regional areas with lots of competitors you do not know well.26. Fair trade policy.	3195249	374578	92117	2015-10-07
Asian Downstream Summit and Exhibition	2016-04-17	3	Silence against violence is harmful.	3450078	295	92111	2015-03-20
Asian Downstream Summit and Exhibition	2017-10-05	1	Opening Speech	25956	454306	92134	2015-11-07
Asian Downstream Summit and Exhibition	2017-10-05	2	How to be happy being single.	12770	374576	92114	2015-10-07
Asian Downstream Summit and Exhibition	2017-10-05	3	Parent-Child Relationships And Their Importance	3441	374578	92117	2015-10-07
Asian Downstream Summit and Exhibition	2018-06-27	1	Opening Speech	3648114	374578	92098	2015-10-07
Asian Downstream Summit and Exhibition	2018-06-27	2	Improving the active learning curve in education.	3620	3404254	92120	2018-05-07
Association of Muslim Lawyers Annual Lecture	2016-05-19	1	Opening Speech	2282954	295	92111	2015-03-20
Association of Muslim Lawyers Annual Lecture	2016-05-19	2	Safety issues of nuclear power plants.	25714	454306	92134	2015-11-07
Association of Muslim Lawyers Annual Lecture	2016-05-19	3	Availability Of Resources And Distribution Of Wealth	3764099	120336	92120	2015-06-08
Association of Muslim Lawyers Annual Lecture	2017-10-11	1	Opening Speech	25674	374588	92128	2017-05-07
Association of Muslim Lawyers Annual Lecture	2017-10-11	2	How to prevent elder abuse.	25587	308	92122	2017-04-24
Association of Muslim Lawyers Annual Lecture	2018-05-03	1	Opening Speech	2682286	374578	92098	2015-10-07
Association of Muslim Lawyers Annual Lecture	2018-05-03	2	How search engines work.	3505457	374576	92114	2015-10-07
Association of Muslim Lawyers Annual Lecture	2018-05-03	3	How to get a really good sleep.	34824	374576	92114	2015-10-07
Association of Muslim Lawyers Annual Lecture	2018-05-03	4	How to set goals and achieve them.	3574975	374578	92098	2015-10-07
Association of Muslim Lawyers Annual Lecture	2018-05-03	5	The importance of mathematics.	34881	374578	92117	2015-10-07
Athletes Achievement Awards (AAA) Ceremony 	2016-06-24	1	Opening Speech	38740	454306	92134	2015-11-07
Athletes Achievement Awards (AAA) Ceremony 	2016-06-24	2	Is wind energy cheap, effective, and practical?	3659	374578	92098	2015-10-07
Athletes Achievement Awards (AAA) Ceremony 	2016-06-24	3	How Are Human Activities Causing Landslides	439739	295	92111	2015-03-20
Athletes Achievement Awards (AAA) Ceremony 	2016-06-24	4	Examples of corporate crime.	2124741	374576	92114	2015-10-07
Athletes Achievement Awards (AAA) Ceremony 	2016-06-24	5	The history of hello kitty.	3497218	454306	92134	2015-11-07
Athletes Achievement Awards (AAA) Ceremony 	2016-06-24	6	Why the brain is so important.	25482	454306	92134	2015-11-07
Athletes Achievement Awards (AAA) Ceremony 	2017-02-07	1	Opening Speech	2834790	374578	92098	2015-10-07
Athletes Achievement Awards (AAA) Ceremony 	2017-02-07	2	The development of the human sex ratio in our country.	730275	454306	92134	2015-11-07
Athletes Achievement Awards (AAA) Ceremony 	2018-08-30	1	Opening Speech	2240952	295	92111	2015-03-20
Athletes Achievement Awards (AAA) Ceremony 	2018-08-30	2	How to deal with grant-making foundations and grant writing.	2000784	374576	92114	2015-10-07
Athletes Achievement Awards (AAA) Ceremony 	2018-08-30	3	How to survive working in a restaurant.	3749511	374576	92114	2015-10-07
Athletes Achievement Awards (AAA) Ceremony 	2018-08-30	4	Junk food and its relation to obesity.	12420	3404254	92120	2018-05-07
AVPN Conference	2015-08-05	1	Opening Speech	1309940	310	92172	2015-03-20
AVPN Conference	2015-08-05	2	How to break bad habits.	25524	304	92177	2015-03-20
AVPN Conference	2015-08-05	3	The most interesting world records.	34808	300	92098	2015-03-20
AVPN Conference	2016-02-05	1	Opening Speech	3455	374588	92172	2015-10-07
AVPN Conference	2016-02-05	2	Why are dogs known as man's best friend?	34767	374578	92098	2015-10-07
AVPN Conference	2017-03-31	1	Opening Speech	3224139	374578	92098	2015-10-07
Basic Military Training Passing Out Parade	2015-11-09	1	Opening Speech	829637	120336	92120	2015-06-08
Basic Military Training Passing Out Parade	2015-11-09	2	Should Adopted Children Have The Chance Of Seeing Their Biological Parents	2924417	374578	92098	2015-10-07
Basic Military Training Passing Out Parade	2015-11-09	3	Advantages and disadvantages of aqua aerobics for your muscles.	2873385	454306	92134	2015-11-07
Basic Military Training Passing Out Parade	2015-11-09	4	How to set goals and achieve them.	3118544	374578	92098	2015-10-07
Basic Military Training Passing Out Parade	2015-11-09	5	How roads are built.	3497218	374578	92117	2015-10-07
Basic Military Training Passing Out Parade	2016-05-03	1	Opening Speech	25781	454306	92134	2015-11-07
