jobid	jobtitle	phone	joblevel	deptid	reportto	jobtype
88755	Senior Assistant Director (Investigations Training Unit)	64900417	8	88732	88733	NP
88756	Assistant Director (Investigations Policy Unit / General Investigations Branch)	64900470	8	88732	88733	NP
88757	Senior Assistant Director (Public Sector)	64900466	10	88732	88733	NP
88758	Senior Assistant Director (Private Sector)	64900419	8	88732	88733	NP
88759	Senior Assistant Director (Financial Investigations)	64904239	9	88732	88733	NP
88760	Assistant Director (Financial Investigations)	64900430	9	88732	88733	NP
88761	Assistant Director (Investigations Training)	64900417	8	88732	88733	NP
88762	Assistant Director (Investigations Policy / Special Interview)	64900470	9	88732	88733	NP
88763	Senior Manager (Investigations Training)	64900416	9	88732	88733	NP
88764	Deputy Director (Investigations Policy and Research)	64900458	10	88732	88733	NP
88765	Senior Manager (Curriculum)	63499225	9	88732	88733	NP
88766	Senior Assistant Director (General Investigations)	64900486	8	88732	88733	NP
88767	Head (Investigations Training Unit)	64900418	10	88732	88733	NP
88768	"Head (Special Investigations Branch, Public Sector)"	64900425	8	88732	88733	NP
88769	Deputy Director (Operations)	64900466	8	88732	88733	NP
88770	Senior Assistant Director (General Investigations)	64900469	10	88732	88733	NP
88771	Deputy Director (Investigations)	64900458	10	88732	88733	NP
88772	2 Senior Assistant Director (Financial Investigations Branch)	64900424	9	88732	88733	NP
88773	Assistant Director (General Investigations)	64900486	10	88732	88733	NP
88774	Deputy Director (Operations)/(General Investigations - covering)	64900466	8	88732	88733	NP
88775	Deputy Head (General Investigations) covering	64905818	10	88732	88733	NP
88776	Deputy Head (Special Interview Section)	64900463	8	88732	88733	NP
88778	Director (Operations)	64900474	8	88777	88860	NP
88779	Deputy Director	64900436	8	88777	88778	NP
88780	Senior Assistant Director	64900419	8	88777	88778	NP
88781	Senior Deputy Director	64900436	11	88777	88778	NP
88782	Senior Deputy Director (Designate)	64900498	8	88777	88778	NP
88783	Assistant Director	64904248	9	88777	88778	NP
88784	Deputy Director (Intel)	64900436	8	88777	88778	NP
88785	Senior Assistant Director (Intel Branch)	64900419	9	88777	88778	NP
88786	Assistant Director (Computer Forensic Branch)	64904239	8	88777	88778	NP
88787	Head (Intel Branch)	64900441	9	88777	88778	NP
88788	Deputy Head (Intel Branch)	64905935	10	88777	88787	NP
88789	Chief Liaison Officer (Intel Branch)	64900412	10	88777	88778	NP
88790	Head (Polygraph Branch)	64900411	9	88777	88778	NP
88791	Manager (Operations Management Registry)	64900487	9	88777	88778	NP
88792	Head (Operations Management Field and Armoury)	64900457	8	88777	88778	NP
88793	Head (Operations Management Registry)	64904257	8	88777	88778	NP
88794	Assistant Director (Operations Management Registry)	64900404	9	88777	88778	NP
88795	Assistant Director (Operations Management Field and Armoury)	64900422	10	88777	88778	NP
88796	Senior Manager (Operations Management Registry)	64900405	10	88777	88778	NP
88797	Assistant Director (Intel Branch)	64900465	10	88777	88778	NP
88798	Assistant Director (Intel)	64900425	9	88777	88778	NP
88799	Assistant Director (Computer Forensic)	64904248	8	88777	88778	NP
88800	Assistant Director Operations Management (Registry)	64900404	8	88777	88778	NP
88801	Manager (Screening)	64900487	8	88777	88778	NP
88802	Senior Assistant Director (Intel)	64900419	8	88777	88778	NP
88803	Assistant Director Operations Management (Field and Armoury)	64900422	10	88777	88778	NP
88804	Acting Head (Polygraph)	64900411	10	88777	88778	NP
88805	Manager (Inv Support)	64900405	8	88777	88778	NP
88806	Head (Intel)	64900408	10	88777	88778	NP
88807	Head (Polygraph)	64900360	10	88777	88778	NP
88808	Head Operations Management (Field and Armoury)	64900422	9	88777	88778	NP
88810	Deputy Director (People Management & Development)	66019378	9	88809	88860	NP
88811	Deputy Director (Finance & Administration)	64900403	8	88809	88810	NP
88812	"Senior Deputy Director (Planning, Policy & Corporate Relations)"	64900467	9	88809	88810	NP
88813	Senior Deputy Director (Information Technology) / Chief Information Officer	64900480	9	88809	88810	NP
88814	Deputy Director (Strategic Planning & International Relations Policy)	64905932	11	88809	88810	NP
88815	Senior Assistant Director (Corporate Relations)	64905933	8	88809	88810	NP
88816	Senior Assistant Director (People Plans & Development)	64905919	10	88809	88810	NP
88817	Senior Assistant Director (Finance & Procurement)	64900404	8	88809	88810	NP
88818	Senior Assistant Director (Administration & Facilities)	64900407	8	88809	88810	NP
88819	"Deputy Director (Planning, Policy & Corporate Relations)"	64900467	8	88809	88810	NP
88820	Deputy Director (Information Technology) / Chief Information Officer	64900480	8	88809	88810	NP
88821	Senior Assistant Director (Strategic Planning & International Relations Policy Branch)	64905932	9	88809	88810	NP
88822	Senior Assistant Director (Corporate Relations Branch)	64905933	8	88809	88810	NP
88823	Assistant Director (People Plans & Development)	64905919	9	88809	88810	NP
88824	Assistant Director (Finance and Procurement)	64900404	10	88809	88810	NP
88825	Assistant Director (Admin & Facilities)	64900407	9	88809	88810	NP
88826	Head (Strategic Planning Branch)	64905947	8	88809	88810	NP
88827	Head (Technical Services)	64900445	9	88809	88810	NP
88828	Senior Manager (Recruitment & People Services)	64905929	8	88809	88810	NP
88829	Manager (People Plans & Development)	64905925	9	88809	88810	NP
88830	Manager (Finance)	64900488	8	88809	88810	NP
88831	Manager (Procurement)	64904242	10	88809	88810	NP
88832	Manager (Strategic Planning Branch)	64905946	9	88809	88810	NP
88833	Manager (International Relations Policy Branch)	64905934	10	88809	88810	NP
88834	Senior Manager (Corporate Relations Branch)	64905938	8	88809	88810	NP
88835	Manager (Corporate Relations Branch)	64905937	10	88809	88810	NP
88836	Head (Applications)	64900477	8	88809	88810	NP
88837	Assistant Director (Finance & Administration Branch)	64900357	8	88809	88810	NP
88838	Head (Applications Services)	64900449	10	88809	88810	NP
88839	"Deputy Director (Planning, Policy & Corporate Relations)"	64900438	10	88809	88860	NP
88840	Deputy Director (People Management & Development)	66019349	10	88809	88839	NP
88841	Deputy Director (Finance & Administration)	64900374	10	88809	88839	NP
88842	Deputy Director (Information Technology) / Chief Information Officer	64900451	10	88809	88839	NP
88843	Assistant Director (People Management & Development)	64905890	10	88809	88839	NP
88844	Assistant Director (Finance & Administration)	64900378	10	88809	88839	NP
88845	Head (Strategic Planning)	64900399	8	88809	88839	NP
88846	Head (Applications Services)	64900449	8	88809	88839	NP
88847	Senior Manager (Corporate Relations)	64905909	8	88809	88839	NP
88848	Manager (Finance & Administration)	64900459	10	88809	88839	NP
88849	Senior Assistant Director (Corporate Relations)	64905904	9	88809	88839	NP
88850	Senior Assistant Director (Strategic Planning and International Relations Policy)	64905903	8	88809	88839	NP
88851	Head (Technical Services)	64900416	8	88809	88839	NP
88852	Manager (Corporate Relations)	64905908	10	88809	88839	NP
88853	Manager (International Relations Policy)	64905915	8	88809	88839	NP
88854	Manager (Strategic Planning)	64905918	10	88809	88839	NP
88855	Manager (People Management & Development)	64905896	10	88809	88839	NP
88856	Senior Manager (Strategic Planning)	64905918	9	88809	88839	NP
88857	Assistant Director (Corporate Relations)	64905904	9	88809	88839	NP
88858	Assistant Director (Policy & International Relations)	64902605	9	88809	88839	NP
88859	Manager (Policy & International Relations)	64905816	9	88809	88839	NP
88861	Director (Operations)	64900345	9	88731	88860	NP
88862	Personal Assistant to Director (Operations)	66019240	8	88731	88861	NP
88863	Personal Assistant to Director(Operations)	66019241	8	88731	88861	NP
88864	Staff Assistant to Director (Operations)	66019236	9	88731	88861	NP
88865	Director (Investigations)	64900370	9	88731	88860	NP
88866	Personal Assistant to Director (Investigations)	63499349	11	88731	88865	NP
88867	Quality Service Manager	6.49E+07	10	88731	88860	NP
88869	Senior Assistant Director (Internal Audit)	64904111	10	88731	88860	NP
88870	Personal Assistant to Director CPIB	64900271	10	88731	88860	NP
88871	Head (Internal Audit Branch)	64900302	9	88731	88860	NP
88872	Head (Internal Audit)	64900302	10	88731	88860	NP
88874	Director Designate CPIB	64900341	10	88731	88860	NP
88875	PA (covering) to Dir CPIB	63499348	10	88731	88860	NP
88882	Head	63323430	9	88876	92137	NP
88878	Registrar	63323558	10	88877	88882	NP
88879	Deputy Registrar	63324525	8	88877	88878	NP
88880	Assistant Registrar	63323427	8	88877	88878	NP
88881	Management Support Executive	63323428	9	88877	88878	NP
88883	Deputy Head	63324544	8	88876	88882	NP
88884	Deputy Head (Operations)	63327853	9	88876	88882	NP
88885	Senior Manager (Political Donations and Communications)	63324643	9	88876	88882	NP
88886	Senior Manager (Manpower and Training)	63320302	8	88876	88882	NP
88887	Senior Manager (Administration and Finance)	63320299	11	88876	88882	NP
88888	Manager (Manpower and Training)	63325030	8	88876	88882	NP
88889	Quality Service Manager	6.33E+07	9	88876	88882	NP
88891	Senior Manager (Logistics and Technology)	63320300	8	88876	88882	NP
88892	Manager (Logistics and Technology)	63323427	8	88876	88882	NP
88893	Assistant Manager (Logistics and Technology)	\N	10	88876	88892	NP
88894	Senior Manager (Policy and Planning)	63324284	9	88876	88882	NP
88895	Director (Policy and Planning)	63323438	10	88876	88882	NP
88896	Assistant Director (Political Donations and Communications)	63324643	8	88876	88882	NP
88897	Assistant Manager (Political Donations and Communications)	63320297	10	88876	88882	NP
88898	Assistant Director (Manpower and Training)	63320298	9	88876	88882	NP
88899	Director (Logistics and Technology)	63320301	10	88876	88882	NP
88900	Assistant Director (Logistics and Technology)	63320302	8	88876	88899	NP
88901	Senior Assistant Director (Logistics and Technology)	63320211	9	88876	88899	NP
88902	Senior Manager (Human Resource)	63325046	10	88876	88882	NP
88903	Senior Assistant Director (Political Donations and Communications)	63324660	9	88876	88882	NP
88904	Advisor	63323435	10	88876	88882	NP
88905	Senior Manager (Corporate Development and Human Resources)	63325029	10	88876	88882	NP
88906	Assistant Head (Policy and Planning)	63323428	8	88876	88882	NP
88907	Manager (Corporate Development and Human Resources)	63325029	10	88876	88882	NP
88908	Lead Manager (Political Donations and Communications)	63324643	8	88876	88882	NP
88909	Lead Manager (Logistics and Technology)	63325031	10	88876	88882	NP
88910	Assistant Head (Logistics and Technology)	63320301	10	88876	88882	NP
88911	Lead Manager (Manpower and Training)	63320302	9	88876	88882	NP
88912	Assistant Head (Political Donations and Communications)	63320301	10	88876	88882	NP
88913	Manager (Political Donations and Communications)	63325140	9	88876	88882	NP
88914	Manager (Policy and Planning)	63324284	9	88876	88882	NP
88915	Head (Designate)	63323431	8	88876	88882	NP
88916	(Manager (Political Donations and Communications))	63325031	8	88876	88882	NP
88918	Senior Curator	68355314	10	88917	92137	NP
88919	Curator	68352097	9	88917	88918	NP
88920	Assistant Curator	68355365	8	88917	88919	NP
88922	Deputy General Manager	63368213	11	88921	92137	NP
88923	Assistant BM/Project Manager	63368210	10	88921	88922	NP
88925	Commanding Officer	68355187	9	88924	92137	NP
88926	Deputy Commanding Officer	68353451	8	88924	88925	NP
89129	Permanent Secretary (National Research and Development)	63327301	11	88934	92137	NP
88936	"Head, Corporate Communications"	66842927	8	88935	89129	NP
88937	"Assistant Head, Corporate Communications"	66945035	11	88935	88936	NP
88938	"Senior Executive, Corporate Communications / Strategy"	66842102	9	88935	88936	NP
88939	"Senior Executive, Corporate Communications / Strategy Senior Executive and Secretary, RIE Coordination Office"	66842102	10	88935	88936	NP
88940	"Senior Officer, Corporate Communications"	66944842	9	88935	88936	NP
88941	"Executive, Corporate Communications"	66945041	8	88935	88936	NP
88943	"Director, Corporate Services"	66842910	8	88942	89129	NP
88944	"Senior Executive, Finance"	66842915	9	88942	88943	NP
88945	"Head, Human Resource"	66842946	9	88942	88943	NP
88946	"Deputy Head, Human Resource"	66842405	11	88942	88945	NP
88947	"Assistant Head, Human Resource"	66842405	8	88942	88945	NP
88948	"Secretary, Corporate Services"	66842912	10	88942	88943	NP
88949	"Senior Executive, Administration"	66945034	10	88942	88943	NP
88950	"Senior Officer, Human Resource"	66842912	8	88942	88943	NP
88951	"Deputy Director, Finance & Administration"	66945040	9	88942	88943	NP
88952	"Deputy Head, Finance"	66842406	9	88942	88943	NP
88953	"Assistant Director, Finance & Administration"	66945040	10	88942	88943	NP
88954	"Assistant Head, Finance"	66842406	8	88942	88943	NP
88955	"Executive, Finance"	63349025	8	88942	88943	NP
88956	"Senior Executive, Human Resource"	66842912	9	88942	88943	NP
88957	"Executive, Human Resource"	66842912	8	88942	88943	NP
88958	"Secretary, Corporate Services"	66842912	8	88942	88943	NP
88959	"Executive, Administration"	\N	10	88942	88943	NP
88960	"Assistant Head, Human Resource"	66842948	10	88942	88943	NP
88961	"Deputy Director, HR"	66945019	10	88942	88943	NP
88962	"Senior Executive, Procurement"	66944848	10	88942	88943	NP
88963	"Senior Officer, Human Resource"	66842405	9	88942	88943	NP
88965	"Executive Director, CREATE"	66945019	9	88964	89129	NP
88966	"Head, CREATE"	66945057	11	88964	88965	NP
88967	"Deputy Head, CREATE"	63349187	8	88964	88966	NP
88968	"Deputy Head,CREATE"	63349022	10	88964	88966	NP
88969	"Assistant Head, CREATE"	66945036	8	88964	88966	NP
88970	"Assistant Head, CREATE"	66945036	10	88964	88966	NP
88971	"Senior Officer, CREATE"	66945015	9	88964	88965	NP
88972	Secretary and Senior Officer CREATE	66945029	10	88964	88965	NP
88973	"Head,CREATE"	66842918	10	88964	88965	NP
88974	"Secretary and Senior Executive, CREATE"	66945029	8	88964	88965	NP
88975	"Deputy Director, CREATE"	63349018	10	88964	88965	NP
88976	"Secretary, CREATE"	66945029	10	88964	88965	NP
88977	"Assistant Head, CREATE"	66945045	9	88964	88965	NP
88978	"Head, CREATE"	66945097	9	88964	88965	NP
88979	"Assistant Head, CREATE"	66944894	9	88964	88978	NP
88980	"Senior Officer and Secretary, CREATE"	66945029	10	88964	88965	NP
88982	"Deputy Director, Grant Management"	66842909	8	88981	89129	NP
88983	"Senior Officer, Grant Management"	66945028	11	88981	88982	NP
88984	"Head, Grant Management"	66842947	10	88981	88982	NP
88985	"Assistant Head, Grant Management"	66842921	10	88981	88984	NP
88986	"Deputy Head, Grant Management"	66842921	10	88981	88984	NP
88987	"Senior Executive, Grant Management"	66945037	9	88981	88982	NP
88988	"Assistant Head, Research Grant Office"	66945039	8	88981	88982	NP
88989	"Assistant Head, Grant Management"	66842913	10	88981	88982	NP
88990	"Head, Grant Management"	66842783	10	88981	88982	NP
88991	"Assistant Head, Grant Management"	66842921	10	88981	88990	NP
88993	"Deputy Director, Infrastructure & Facilities Management"	66842904	11	88992	89129	NP
88994	"Senior Officer, Infrastructure & Facilities Management"	66842925	8	88992	88993	NP
88995	"Senior Executive, Infrastructure & Facilities Management"	66842925	10	88992	88993	NP
88996	"Head, Health & Safety, Infrastructure & Facilities Management"	63349028	10	88992	88993	NP
88997	"Manager, Infrastructure & Facilities Management"	66842921	8	88992	88993	NP
88998	"Dy Director, Infrastructure & Facilities Management"	66842899	9	88992	89129	NP
88999	"Manager, Infrastructure & Facilities Management"	66842921	9	88992	88998	NP
89000	"Head, Infrastructure & Facilities Management"	63349164	9	88992	88998	NP
89001	"Senior Executive, Infrastructure & Facilities Management"	66839781	8	88992	88998	NP
89002	"Executive, Infrastructure & Facilities Management"	66842928	9	88992	88998	NP
89004	"Senior Deputy Director, Innovation & Enterprise"	63349032	8	89003	92137	NP
89005	"Head, Innovation & Enterprise"	63349033	9	89003	89004	NP
89006	"Assistant Head, Innovation & Enterprise"	66842920	8	89003	89005	NP
89007	"Deputy Head, Innovation & Enterprise"	66842934	8	89003	89005	NP
89008	"Senior Executive, Innovation & Enterprise"	66945028	9	89003	89004	NP
89009	"Head, Innovation & Enterprise"	63349033	11	89003	89004	NP
89010	"Senior Officer, Innovation & Enterprise"	66842938	8	89003	89004	NP
89011	"Deputy Director, Innovation & Enterprise"	63349027	9	89003	89129	NP
89012	"Executive, Innovation & Enterprise"	66945021	10	89003	89011	NP
89013	"Senior Officer, Services & Digital Economy / Innovation & Enterprise"	66842910	10	89003	89011	NP
89014	"Head, Innovation & Enterprise"	66842928	10	89003	89011	NP
89015	"Assistant Head, Innovation & Enterprise"	66842815	8	89003	89014	NP
89016	"Assistant Head, Innovation & Enterprise"	66842927	8	89003	89011	NP
89017	Deputy Director/Strategy (Innovation)	63349037	9	89003	89129	NP
89018	"Head, Innovation & Enterprise"	66842921	9	89003	89017	NP
89019	"Assistant Head, Innovation & Enterprise"	66842922	8	89003	89018	NP
89020	"Executive, Innovation & Enterprise"	66944903	9	89003	89017	NP
89021	"Senior Officer, Innovation & Enterprise"	66842935	8	89003	89017	NP
89023	"Head, Strategy"	66842928	11	89022	89129	NP
89024	"Head,Strategy"	66842928	10	89022	89023	NP
89025	"Deputy Head, Strategy"	63349143	10	89022	89024	NP
89026	"Assistant Head, Strategy"	66842918	9	89022	89024	NP
89027	"Assistant Head, Strategy"	66842940	8	89022	89024	NP
89028	"Senior Deputy Director, Strategy"	63349028	8	89022	89023	NP
89029	"Senior Executive, Strategy / Corporate Communications"	66842102	8	89022	89023	NP
89030	"Senior Officer, Strategy"	66842918	10	89022	89023	NP
89031	"Head,Strategy"	66842929	10	89022	89023	NP
89032	"Secretary and Senior Officer, Strategy"	66945029	10	89022	89023	NP
89033	"Head, Strategy"	63349031	8	89022	89023	NP
89034	"Deputy Director, Strategy"	66842929	9	89022	89023	NP
89035	"Secretary and Senior Executive, Strategy"	66945029	8	89022	89023	NP
89036	"Assistant Head, Strategy"	66945033	9	89022	89023	NP
89037	"Assistant Head, Strategy"	66842834	10	89022	89023	NP
89038	"Senior Officer and Secretary, Strategy"	66945029	8	89022	89023	NP
89040	"Senior Deputy Director, Cybersecurity R&D"	66945095	9	89039	89129	NP
89041	"Head, Cybersecurity R&D"	66945024	8	89039	89040	NP
89042	"Assistant Head, Cybersecurity R & D"	66945024	8	89039	89041	NP
89043	"Senior Executive, Cybersecurity R & D"	63349017	9	89039	89040	NP
89044	"Senior Officer, Cybersecurity R & D"	66945156	11	89039	89040	NP
89045	"Assistant Head, Cybersecurity R & D"	66945024	10	89039	89040	NP
89046	"Assistant Head,Cybersecurity R & D"	66944935	10	89039	89040	NP
89047	"Deputy Director, Cybersecurity R&D"	66945156	8	89039	89040	NP
89049	"Director, Programmes"	66842905	8	89048	89129	NP
89050	"Head, Programmes"	66842934	8	89048	89049	NP
89051	"Deputy Head, Programmes"	66945031	9	89048	89050	NP
89052	"Deputy Head, Programmes"	66842902	11	89048	89050	NP
89053	"Deputy Head, Programmes"	66842933	10	89048	89050	NP
89054	"Assistant Head, Programmes"	66945184	10	89048	89050	NP
89055	"Deputy Director, Programmes"	66842943	9	89048	89049	NP
89056	"Secretary and Senior Officer, Programmes"	66842915	8	89048	89049	NP
89057	"Deputy Director, Programmes / International Relations"	66842939	9	89048	89049	NP
89058	"Secretary and Senior Executive,Programmes"	66942915	9	89048	89049	NP
89059	"Assistant Head, Programmes"	66945184	8	89048	89049	NP
89060	"Assistant Head, Programmes"	66945032	9	89048	89049	NP
89061	"Senior Officer, Programmes"	66945104	10	89048	89049	NP
89062	"Senior Officer and Secretary, Programmes"	66842901	10	89048	89049	NP
89063	"Director, Programmes Directorate"	66842892	10	89048	89129	NP
89064	"Assistant Head, Programmes Directorate"	66945014	10	89048	89063	NP
89065	"Assistant Head, Programmes"	66842919	9	89048	89063	NP
89066	"Secretary, Programmes Directorate"	66944958	9	89048	89063	NP
89067	"Deputy Director, Programmes Directorate"	66842943	8	89048	89063	NP
89069	"Deputy Director, Innovation & Enterprise Office"	63349041	10	89068	89129	NP
89070	"Assistant Head, Central Innovation & Enterprise Office"	63349024	9	89068	89069	NP
89071	"Senior Officer, Central Innovation & Enterprise Office"	63349090	9	89068	89069	NP
89072	"Head, Central Innovation & Enterprise Office"	63349030	8	89068	89069	NP
89074	"Director, Health & Biomedical Sciences"	66945095	8	89073	89129	NP
89075	"Senior Project Manager, Health & BioMedical Sciences"	66945153	11	89073	89074	NP
89076	"Head, Health & BioMedical Sciences"	66945096	10	89073	89074	NP
89077	"Assistant Head, Health & BioMedical Sciences"	66842907	9	89073	89076	NP
89078	"Deputy Head, Health & BioMedical Sciences"	66945042	9	89073	89076	NP
89079	"Secretary and Senior Officer, Health BioMedical Sciences"	66842916	10	89073	89074	NP
89080	"Deputy Head,Health BioMedical Sciences"	63349023	9	89073	89074	NP
89081	"Secretary and Senior Executive, Health BioMedical Sciences"	66842916	9	89073	89074	NP
89082	"Assistant Head,Health BioMedical Sciences"	63349021	8	89073	89074	NP
89083	"Senior Officer and Secretary, Health BioMedical Sciences"	66842861	9	89073	89074	NP
89084	"Deputy Head, Health BioMedical Sciences"	63349021	10	89073	89074	NP
89086	"Director, Services & Digital Economy"	66945021	11	89085	89129	NP
89087	"Head, Services & Digital Economy"	66945026	8	89085	89086	NP
89088	"Deputy Head, Services & Digital Economy"	63349080	10	89085	89087	NP
89089	"Assistant Head, Services & Digital Economy"	63349031	9	89085	89087	NP
89090	"Head, Services & Digital Economy"	63349032	9	89085	89086	NP
89091	"Head, Services & Digital Economy"	63349033	10	89085	89086	NP
89092	"Secretary and Senior Officer, Services & Digital Economy"	66842915	8	89085	89086	NP
89093	"Head, Services & Digital Economy/ Innovation & Enterprise/ Central Innovation Cluster"	63349032	9	89085	89086	NP
89094	"Assistant Head, Services & Digital Economy/ Innovation Enterprise"	66842920	8	89085	89086	NP
89095	"Deputy Director, Services & Digital Economy"	66842950	8	89085	89086	NP
89096	"Secretary and Senior Executive, Services & Digital Economy"	66842915	8	89085	89086	NP
89097	"Senior Officer, Services & Digital Economy/ Innovation Enterprises"	66842920	9	89085	89086	NP
89098	"Assistant Head, Services & Digital Economy"	66944984	8	89085	89086	NP
89099	"Senior Officer and Secretary, Services & Digital Economy"	66842901	8	89085	89086	NP
89100	"Acting Deputy Director, Services & Digital Economy"	66842936	8	89085	89129	NP
89101	"Secretary and Senior Executive, Services & Digital Economy"	66842901	8	89085	89100	NP
89102	"Assistant Head, Services & Digital Economy"	66944984	9	89085	89100	NP
89103	"Senior Officer, Services & Digital Economy/ Innovation Enterprises"	66842920	9	89085	89100	NP
89105	"Director, Urban Solutions & Sustainability"	66842904	11	89104	89129	NP
89106	"Head, Urban Solutions & Sustainability"	66842954	9	89104	89105	NP
89107	"Assistant Head, Urban Solutions & Sustainability"	66842941	8	89104	89106	NP
89108	"Deputy Head, Urban Solutions & Sustainability"	66842391	9	89104	89106	NP
89109	"Deputy Head, Urban Solutions & Sustainability"	66842946	8	89104	89106	NP
89110	"Assistant Head, Urban Solutions & Sustainability"	66842628	10	89104	89106	NP
89111	"Assistant Head, Urban Solutions & Sustainability"	66945056	9	89104	89106	NP
89112	"Assistant Head, Urban Solutions & Sustainability"	66842942	10	89104	89106	NP
89113	"Deputy Director, Urban Solutions & Sustainability"	66842629	8	89104	89105	NP
89114	"Head, Urban Solutions & Sustainability"	66842629	9	89104	89105	NP
89115	"Deputy Head, Solutions & Sustainability"	66945157	10	89104	89105	NP
89116	"Head, Urban Solutions & Sustainability"	66842942	8	89104	89105	NP
89117	"Secretary and Senior Executive, Urban Solutions & Sustainability"	66842916	10	89104	89105	NP
89118	"Senior Officer, Urban Solutions & Sustainability"	66945032	9	89104	89105	NP
89119	"Senior Officer and Secretary, Urban Solutions & Sustainability"	66842916	9	89104	89105	NP
89121	"Deputy Director, Research Grant Office"	66842909	10	89120	89129	NP
89122	"Senior Officer, Research Grant Office"	66839914	9	89120	89121	NP
89123	"Assistant Head, Research Grant Office"	66842930	8	89120	89121	NP
89126	"Executive Director, RIE Coordination Office"	66945111	8	89125	92137	NP
89127	"Senior Executive and Secretary, RIE Coordination Office"	66839091	8	89125	89126	NP
89128	"Deputy Director, RIE Coordination Office"	66842741	10	89125	89126	NP
89130	PA to Permanent Secretary	63327492	10	88934	89129	NP
89131	Chief Executive Officer	66842705	8	88934	89129	NP
89132	Dy Chief Executive Officer	66842760	8	88934	89131	NP
89133	PA to Chief Executive Officer	66842717	9	88934	89131	NP
89134	PA to Chief Executive Officer and Dy Chief Executive Officer	66842717	9	88934	89129	NP
89135	Secretary to Dy CEO	66944844	10	88934	89129	NP
89136	Dy Chief Executive Officer (Designate)	63349220	9	88934	89129	NP
89138	"Director, Digital Economy"	66945021	8	89137	89129	NP
89139	"Head, Interactive Digital Media Programme Office"	63349025	11	89137	89138	NP
89140	"Assistant Head, Interactive Digital Media Programme Office"	63349029	10	89137	89139	NP
89141	"Senior Officer, Interactive Digital Media Programme Office"	63349031	10	89137	89138	NP
89142	"Deputy Director, Interactive Digital Media Programme Office"	63349036	8	89137	89138	NP
89144	"Director, Digital Economy Directorate"	66945021	10	89143	89129	NP
89145	"Head, Digital Economy Directorate"	66842950	8	89143	89144	NP
89146	"Assistant Head, Digital Economy Directorate"	66945027	9	89143	89145	NP
89147	"Senior Officer,Digital Economy Directorate"	66945036	8	89143	89144	NP
89148	Administrative Support Digital Economy	63349030	8	89143	89144	NP
89150	"Director, Energy & Environment Research Directorate"	66842905	11	89149	89129	NP
