staffid	jobid	postdate	enddate
3636	89135	2015-03-20	2016-04-07
3636	89180	2015-03-20	2015-04-08
3639	89249	2015-03-20	2018-10-22
3639	89252	2016-06-13	2018-10-22
3639	89256	2015-03-20	2016-04-07
3640	89251	2016-03-07	2018-10-22
3640	89257	2015-03-20	2016-02-22
3643	89268	2015-03-20	2018-05-23
3643	89951	2015-03-20	2016-04-07
3644	90825	2015-03-20	2015-06-08
3644	91401	2015-03-20	2015-06-08
3647	89265	2017-06-22	2018-10-22
3647	89269	2017-04-07	2017-05-22
3647	89270	2015-03-20	2017-03-22
3647	89494	2018-04-22	2018-10-22
3647	89496	2017-06-23	2018-04-07
3647	89498	2017-05-22	2017-05-22
3647	89577	2018-04-22	2018-10-22
3647	89578	2017-06-23	2018-04-07
3647	89583	2017-05-22	2017-05-22
3647	89952	2015-03-20	2016-04-07
3647	90129	2016-04-07	2017-05-07
3647	90132	2015-03-20	2016-03-22
3647	90516	2017-01-07	2017-05-07
3647	90551	2015-03-20	2016-12-22
3648	89261	2017-04-07	2018-06-07
3648	89262	2015-03-20	2017-03-22
3648	89273	2015-07-22	2015-07-22
3648	89791	2017-07-08	2018-03-22
3648	89801	2017-05-22	2017-06-23
3648	90204	2016-08-07	2017-05-07
3648	90224	2016-10-07	2017-05-07
3648	90235	2016-11-15	2017-05-07
3648	90280	2016-08-29	2016-09-22
3648	90284	2016-04-07	2016-08-07
3648	90286	2015-03-21	2016-03-22
3648	90291	2015-03-21	2015-03-21
3648	90316	2016-07-06	2016-07-22
3648	90317	2016-06-13	2016-06-24
3649	92675	2015-07-22	2016-07-22
3649	93193	2015-03-20	2017-05-22
3650	93194	2015-03-20	2017-05-22
3652	93202	2015-03-20	2015-10-22
3653	93195	2015-03-20	2017-02-22
3658	93198	2015-11-07	2016-04-07
3658	93203	2015-03-20	2015-10-22
3659	93196	2015-03-20	2015-04-08
3673	91398	2015-03-20	2015-10-22
3676	90674	2015-03-20	2015-06-08
3676	90826	2015-03-20	2015-06-08
3676	91016	2015-03-20	2015-03-20
3676	91402	2015-03-20	2015-06-08
3677	90827	2015-03-20	2018-10-22
3677	90837	2015-07-22	2015-07-22
3677	91403	2015-03-20	2015-06-08
3677	91405	2015-03-20	2015-06-08
3678	90715	2015-03-20	2017-02-07
3678	90830	2017-04-22	2018-10-22
3678	90833	2015-03-20	2017-04-07
3678	90838	2015-07-22	2015-07-22
3678	91245	2017-04-07	2018-10-22
3678	91313	2017-02-22	2017-03-22
3678	91314	2015-03-20	2017-02-07
3678	91404	2015-03-20	2015-06-08
3681	92099	2015-03-20	2018-10-22
3686	92100	2015-03-20	2015-10-07
3689	91540	2015-03-20	2018-10-22
3689	92101	2015-03-20	2015-06-08
3690	92110	2015-03-20	2015-04-08
3692	91543	2015-03-20	2017-09-07
3692	92102	2015-03-20	2015-06-08
3693	91989	2015-03-20	2016-08-07
3693	92103	2015-03-20	2015-06-08
3694	91990	2015-03-20	2018-10-22
3694	92104	2015-03-20	2015-06-08
3695	91696	2015-03-20	2018-10-22
3695	92105	2015-03-20	2015-06-08
3696	91697	2015-03-20	2016-08-07
3696	92106	2015-03-20	2015-06-08
3697	92096	2015-03-20	2018-10-22
3697	92107	2015-03-20	2015-06-08
3698	91543	2017-09-22	2018-10-22
3698	92097	2015-03-20	2017-09-07
3698	92108	2015-03-20	2015-06-08
3699	91533	2015-03-21	2017-09-23
3699	92109	2015-03-20	2015-06-08
12387	88706	2015-03-20	2016-04-05
12387	88728	2016-08-29	2018-10-22
12387	88730	2015-11-07	2016-08-07
12389	88709	2015-03-20	2015-09-07
12390	88709	2016-03-20	2016-10-07
12391	88708	2015-06-08	2015-10-22
12391	88712	2015-03-20	2015-04-08
12392	88709	2017-03-20	2017-04-07
12393	88708	2016-06-08	2016-10-07
12394	88709	2017-05-20	2017-06-22
12396	88707	2016-09-07	2017-09-22
12401	88714	2015-03-20	2018-10-22
12402	88715	2015-03-20	2015-10-22
12403	88725	2015-03-20	2015-04-08
12406	88723	2015-03-20	2017-04-07
12408	88716	2015-03-20	2015-04-07
12408	88717	2017-04-22	2018-07-22
12409	88716	2015-06-08	2016-06-24
12409	88720	2015-03-20	2015-04-08
12410	88721	2015-03-20	2015-04-08
12412	88734	2016-06-13	2018-10-22
12412	88764	2015-04-08	2016-04-07
12412	88771	2015-03-20	2015-03-20
12413	88742	2016-06-13	2017-04-07
12413	88757	2015-03-20	2015-03-20
12413	88769	2015-04-08	2016-03-22
12413	88774	2016-04-07	2016-04-07
12414	88758	2015-03-20	2015-03-20
12414	88779	2017-06-22	2018-10-22
12414	88802	2015-04-08	2016-04-07
12415	88744	2016-06-13	2017-04-07
12415	88759	2015-03-20	2016-04-07
12415	88869	2017-06-22	2018-10-22
12416	88772	2015-03-20	2017-12-06
12418	88743	2016-06-13	2017-04-07
12418	88773	2015-03-20	2015-03-20
12419	88766	2015-04-08	2015-07-22
12419	88770	2015-09-07	2016-03-22
12419	88773	2015-03-21	2015-03-21
12419	88782	2018-04-22	2018-07-22
12420	88755	2016-06-13	2016-09-22
12420	88761	2015-03-20	2016-04-07
12420	88785	2016-10-07	2017-04-07
12421	88751	2016-10-07	2017-04-07
12421	88756	2016-06-13	2016-09-22
12421	88762	2015-03-20	2016-04-07
12422	88763	2015-03-20	2016-04-07
12423	88765	2015-04-08	2016-04-07
12425	88779	2017-04-22	2017-05-22
12425	88781	2017-06-22	\N
12425	88784	2015-03-20	2017-04-07
12426	88736	2017-04-22	2017-05-22
12426	88798	2015-03-20	2015-03-20
12427	88797	2016-06-13	2016-09-22
12427	88798	2015-03-21	2016-04-07
12428	88735	2017-06-22	2018-10-22
12428	88783	2017-04-22	2017-05-22
12428	88786	2016-06-13	2017-04-07
12428	88799	2015-03-20	2016-04-07
12429	88794	2016-06-13	2017-01-22
12429	88800	2015-03-20	2016-04-07
12429	88817	2017-06-22	2018-10-22
12429	88824	2017-02-07	2017-05-22
12430	88807	2015-03-20	2015-07-22
12431	88753	2016-12-07	2017-02-07
12431	88795	2016-06-13	2016-11-22
12431	88803	2015-04-08	2016-04-07
12431	88808	2015-03-20	2015-03-20
12432	88791	2016-06-13	2017-04-07
12432	88801	2015-03-20	2016-04-07
12433	88839	2015-03-20	2016-04-07
12435	88811	2016-06-13	2018-10-22
12435	88841	2015-03-20	2016-04-07
12436	88842	2015-03-20	2016-04-07
12436	92831	2017-05-07	2018-10-22
12437	88815	2017-06-22	2018-10-22
12437	88822	2016-06-13	2017-05-22
12437	88849	2015-04-08	2016-04-07
12437	88857	2015-03-20	2015-03-20
12438	88850	2015-04-08	2016-04-07
12438	88858	2015-03-20	2015-03-20
12439	88816	2017-06-22	2018-10-22
12439	88823	2016-06-13	2017-05-22
12439	88843	2015-03-20	2016-04-07
12440	88844	2015-03-20	2016-04-07
12441	88739	2015-09-07	2017-04-07
12441	88845	2015-03-20	2015-07-22
12442	88838	2016-06-13	2016-10-07
12442	88846	2015-03-20	2016-04-07
12443	88834	2016-06-13	2017-04-07
12443	88847	2015-03-20	2016-04-07
12444	88859	2015-03-20	2015-03-20
12446	88826	2016-06-13	2017-04-07
12446	88845	2015-09-07	2016-04-07
12446	88856	2015-04-08	2015-07-22
12447	88775	2016-04-07	2016-04-07
12448	88829	2016-06-13	2017-04-07
12448	88855	2015-03-20	2016-04-07
12450	88830	2016-06-13	2017-04-07
12450	88848	2015-03-20	2016-04-07
12456	88881	2015-03-20	2018-10-22
12459	93217	2015-10-07	2016-03-22
12459	93231	2015-03-20	2015-09-22
12459	93264	2015-10-07	2016-03-22
12460	92327	2016-08-07	2016-12-22
12460	93214	2016-06-13	2016-07-22
12460	93216	2016-04-07	2016-04-07
12460	93230	2015-03-20	2016-03-22
12462	92359	2017-02-07	2017-07-07
12462	92366	2016-08-07	2017-01-22
12462	92586	2017-02-07	2017-07-07
12463	92360	2017-02-07	2017-07-07
12463	93237	2015-04-08	2015-09-22
12463	93242	2015-03-20	2015-03-20
12463	93248	2015-04-08	2016-07-22
12464	92362	2017-02-07	2017-07-07
12464	92367	2016-08-07	2017-01-22
12464	93238	2015-04-08	2015-09-22
12465	93239	2015-04-08	2015-09-22
12466	92361	2017-04-07	2017-07-07
12466	92363	2017-02-07	2017-03-22
12466	92368	2016-08-07	2017-01-22
12466	92603	2017-02-07	2017-03-22
12466	93244	2015-03-20	2015-03-20
12466	93247	2015-04-08	2016-07-22
12467	92370	2016-08-07	2017-01-22
12467	92684	2017-02-07	2017-05-22
12467	93251	2015-04-08	2016-07-22
12467	93268	2015-03-20	2015-03-20
12468	92371	2016-08-07	2017-01-22
12468	92713	2017-02-07	2017-05-22
12468	93252	2015-04-08	2016-07-22
12468	93269	2015-03-20	2015-03-20
12469	92372	2016-08-07	2017-01-22
12469	92609	2017-04-07	2017-07-07
12469	92615	2017-02-07	2017-03-22
12469	93253	2015-04-08	2016-07-22
12469	93270	2015-03-20	2015-03-20
12470	92373	2016-08-07	2017-01-22
12470	92612	2017-04-07	2017-07-07
12470	92618	2017-02-07	2017-03-22
12470	93254	2015-04-08	2016-07-22
12470	93271	2015-03-20	2015-03-20
12471	92543	2016-08-07	2016-11-22
12471	93291	2015-03-20	2016-03-22
12471	93465	2016-06-13	2016-07-22
12471	93467	2015-07-22	2016-04-07
12471	93472	2015-07-22	2016-04-07
12472	92397	2016-08-07	2017-05-22
12472	92569	2016-08-07	2016-12-22
12472	93292	2015-03-20	2016-07-22
12472	93406	2015-03-20	2016-07-22
12473	92399	2016-08-07	2017-05-22
12473	92491	2016-08-07	2017-05-22
12473	93294	2015-03-20	2016-07-22
12473	93317	2015-03-20	2016-07-22
12474	92405	2016-08-07	2017-05-22
12474	92475	2016-08-07	2017-05-22
12474	92492	2016-08-07	2017-05-22
12474	93295	2015-03-20	2016-07-22
12474	93318	2015-03-20	2016-07-22
12474	93330	2015-03-20	2016-07-22
12475	93301	2015-03-20	2015-07-22
12476	93302	2015-03-20	2015-04-08
12477	92401	2016-08-07	2016-12-07
12477	93300	2015-03-20	2016-07-22
12478	93303	2015-03-20	2015-03-20
12479	92401	2017-04-07	2017-05-22
12479	92402	2016-08-07	2017-03-22
12479	93296	2015-03-20	2016-07-22
12480	93297	2015-03-20	2015-06-08
12481	93298	2015-03-20	2015-12-07
12482	92408	2016-08-07	2016-08-29
12482	92493	2017-04-07	2017-05-22
12482	92495	2016-09-07	2017-03-22
12482	93299	2015-03-20	2016-07-22
12485	93319	2015-03-20	2015-06-08
12486	92474	2016-08-07	2017-05-22
12486	93329	2015-03-20	2016-07-22
12488	93371	2015-03-20	2015-03-20
12489	92418	2016-08-07	2017-05-22
12489	92512	2016-08-07	2017-05-22
12489	92544	2016-08-07	2016-11-22
12489	92574	2017-02-07	2017-07-07
12489	93372	2015-03-20	2016-07-22
12489	93422	2015-03-20	2016-07-22
12489	93425	2015-06-08	2015-07-22
12489	93466	2016-06-13	2016-07-22
12489	93469	2015-03-20	2015-06-08
12490	92417	2016-08-07	2017-05-22
12490	93375	2015-03-20	2015-03-20
12491	92427	2017-04-07	2017-05-22
12491	92428	2016-08-07	2017-03-22
12491	93374	2015-03-20	2016-03-22
12492	93373	2015-03-20	2016-04-07
12493	92568	2016-08-07	2016-12-22
12493	93405	2015-03-20	2016-07-22
12495	92570	2016-08-07	2016-12-22
12495	93408	2015-03-20	2016-07-22
12497	92571	2016-08-07	2016-12-22
12497	93407	2015-03-20	2016-07-22
12498	93421	2015-03-20	2015-04-08
12500	92513	2016-08-07	2017-05-22
12500	92592	2017-02-07	2017-07-07
12500	93423	2015-03-20	2016-07-22
12500	93426	2015-06-08	2015-07-22
12501	93424	2015-03-20	2015-04-08
12501	93427	2015-06-08	2015-07-22
12503	89171	2015-03-20	2015-04-08
12504	89172	2015-03-20	2015-04-08
12506	89064	2015-06-08	2015-10-22
12506	89173	2015-03-20	2015-04-08
12510	88941	2015-03-20	2015-06-08
12511	88943	2015-03-20	2018-10-22
12512	88961	2015-03-20	2016-01-22
12513	88951	2018-04-07	2018-10-22
12513	88953	2015-03-20	2018-03-22
12515	88960	2015-03-20	2016-04-07
12516	88947	2016-06-13	2016-07-06
12516	88963	2015-03-20	2015-04-08
12521	88962	2015-03-20	2015-07-22
12523	88965	2015-03-20	2018-10-22
12524	88978	2015-03-20	2015-04-08
12525	88979	2015-03-20	2015-04-08
12526	88973	2018-04-07	2018-04-22
12526	89091	2018-05-07	2018-10-22
12527	88977	2015-06-08	2016-01-22
12527	89160	2015-11-07	2016-04-07
12527	89167	2015-10-22	2015-10-22
12528	88976	2015-03-20	2016-04-07
12529	89144	2015-03-20	2016-04-07
12531	89146	2015-03-20	2016-04-07
12532	89147	2015-03-20	2016-04-07
12533	89148	2015-03-20	2016-04-07
12534	89105	2016-06-13	2018-10-22
12534	89150	2015-03-20	2016-04-07
12535	89151	2015-03-20	2016-04-07
12536	89113	2018-04-07	2018-10-22
12536	89152	2015-03-20	2016-04-07
12543	88990	2015-03-20	2015-06-08
12545	88984	2017-08-22	2018-10-22
12547	88991	2015-03-20	2015-06-08
12549	88987	2015-03-20	2018-03-22
12550	88998	2015-03-20	2016-04-07
12551	88997	2016-06-13	2018-06-22
12551	88999	2015-03-20	2016-04-07
12552	88996	2016-06-13	2018-06-22
12552	89000	2015-03-20	2016-04-07
12553	89001	2015-03-20	2016-04-07
12554	88995	2016-06-13	2018-07-22
12554	89002	2015-03-20	2016-04-07
12555	89004	2018-04-07	2018-10-22
12555	89011	2016-06-13	2018-03-22
12555	89017	2015-03-20	2016-04-07
12555	89028	2018-04-07	2018-10-22
12555	89069	2016-06-13	2018-10-22
12556	89018	2015-03-20	2016-04-07
12557	89019	2015-06-08	2015-10-22
12559	89021	2015-03-20	2016-04-07
12560	89008	2018-04-07	2018-10-22
12560	89012	2016-06-13	2018-03-22
12560	89020	2015-03-20	2016-04-07
12561	89063	2015-06-08	2016-04-07
12561	89175	2015-03-20	2015-04-08
12562	89176	2015-03-20	2015-04-08
12563	89057	2018-04-07	2018-06-22
12563	89177	2015-03-20	2015-04-08
12564	89051	2018-04-07	2018-10-22
12564	89178	2015-03-20	2015-04-08
12566	89179	2015-03-20	2015-04-08
12571	89027	2017-07-22	2018-03-22
12571	89037	2016-06-13	2017-07-07
12571	89115	2018-07-07	2018-10-22
12572	89163	2015-03-20	2015-10-22
12573	89158	2015-11-07	2016-04-07
12573	89164	2015-03-20	2015-10-22
12574	89159	2015-11-07	2016-04-07
12574	89166	2015-06-08	2015-10-22
12575	89168	2015-03-20	2015-04-08
12576	89161	2015-11-07	2016-04-07
12576	89165	2015-03-20	2015-10-22
12577	89169	2015-03-20	2015-04-08
12582	89185	2018-09-07	2018-10-22
12582	89201	2017-06-22	2018-08-22
12582	89211	2015-03-20	2017-05-22
12583	89191	2015-03-20	2018-08-22
12584	89192	2015-03-20	2015-12-22
12586	89217	2015-03-20	2016-04-07
12586	89235	2017-06-22	2018-10-22
12586	89236	2016-06-13	2017-05-22
12586	89242	2015-03-20	2018-10-22
12587	89204	2017-09-07	2018-08-22
12587	89216	2016-06-13	2017-05-22
12587	89218	2015-03-20	2016-04-07
12587	89228	2017-06-22	2017-06-22
12588	89190	2018-09-07	2018-10-22
12588	89200	2016-06-13	2018-08-22
12588	89219	2015-03-20	2016-04-07
12589	89207	2015-03-20	2017-12-07
12590	89194	2015-03-20	2018-08-22
12591	89202	2017-06-22	2018-08-22
12591	89214	2016-03-07	2017-05-22
12591	89215	2015-03-20	2015-10-22
12591	89227	2015-11-07	2015-12-22
12600	89212	2016-02-22	2017-05-22
12600	89220	2015-03-20	2016-02-07
12601	89224	2015-03-20	2016-02-07
12604	89225	2015-03-20	2016-02-07
12605	89221	2015-03-20	2016-02-07
12605	89222	2015-03-20	2016-02-07
12610	89226	2015-03-20	2016-02-07
12613	89230	2016-02-22	2018-10-22
12613	89241	2015-03-20	2018-10-22
12617	89243	2016-02-22	2018-10-22
12620	89245	2015-03-20	2016-02-07
12621	89246	2015-03-20	2015-10-22
12622	89244	2016-02-22	2016-10-22
12623	89639	2017-05-22	2017-05-22
12623	89692	2017-05-22	2018-10-22
12623	89708	2018-02-22	2018-10-22
12623	89728	2017-05-22	2018-02-07
12623	89961	2015-03-20	2017-05-07
12623	90007	2015-03-20	2017-05-07
12624	89640	2017-05-22	2017-05-22
12624	89695	2017-05-22	2018-10-22
12624	89962	2015-03-20	2017-05-07
12625	89622	2017-06-23	2018-10-22
12625	89645	2017-05-22	2017-05-22
12625	89696	2017-06-23	2018-10-22
12625	89709	2018-02-22	2018-10-22
12625	89732	2017-06-23	2018-02-07
12625	89733	2017-05-22	2017-05-22
12625	89976	2016-06-13	2017-05-07
12625	89980	2015-03-20	2016-04-07
12625	90008	2015-03-20	2017-05-07
12626	89579	2017-05-22	2018-03-22
12626	89638	2017-06-23	2018-03-22
12626	89647	2017-05-22	2017-05-22
12626	89963	2015-03-20	2016-08-29
12626	89978	2016-09-07	2017-05-07
12626	90518	2017-01-07	2017-05-07
12626	90554	2016-12-07	2016-12-22
12626	90556	2015-03-20	2016-11-22
12628	90559	2015-03-20	2015-04-08
12629	89643	2017-05-22	2017-05-22
12629	89699	2018-04-07	2018-10-22
12629	89964	2015-03-20	2017-05-07
12630	89626	2017-06-23	2018-10-22
12630	89648	2017-05-22	2017-05-22
12630	89966	2015-03-20	2017-05-07
12631	89668	2017-06-23	2018-02-22
12631	89712	2018-02-22	2018-02-22
12631	89729	2017-05-22	2018-02-07
12631	89965	2015-03-20	2015-06-08
12631	90011	2015-03-20	2017-04-22
12631	90012	2017-05-07	2017-05-07
12632	90135	2015-09-07	2017-05-07
12632	90395	2015-09-07	2017-05-07
12633	89471	2017-05-22	2018-10-22
12633	89984	2015-03-20	2015-07-22
12633	90142	2016-09-07	2017-05-07
12633	90401	2016-09-07	2017-05-07
12634	89975	2016-04-07	2017-05-07
12634	89981	2015-03-20	2016-03-22
12634	90439	2015-03-20	2016-03-22
12634	90447	2015-07-22	2016-01-22
12635	89986	2015-03-20	2015-06-08
12636	89979	2015-06-08	2016-10-07
12638	89755	2017-06-23	2018-03-22
12638	89757	2018-04-07	2018-10-22
12638	89968	2015-03-20	2015-04-08
12638	90077	2015-06-08	2017-05-07
12639	89627	2018-04-07	2018-09-07
12639	89650	2017-05-22	2017-05-22
12640	89725	2017-06-23	2018-07-22
12640	89958	2017-01-07	2017-04-22
12640	89959	2017-05-07	2017-05-22
12641	89651	2017-05-22	2017-05-22
12641	89672	2018-04-07	2018-10-22
12641	89676	2018-03-07	2018-03-22
12642	89653	2017-05-22	2017-05-22
12642	89669	2018-02-23	2018-10-22
12642	89675	2018-03-07	2018-03-22
12643	90098	2015-10-07	2016-03-22
12644	89825	2017-05-07	2017-05-22
12644	89829	2017-04-23	2017-10-22
12644	89969	2015-03-20	2017-03-22
12646	89549	2018-08-08	2018-10-22
12646	89587	2017-05-22	2018-04-23
12646	90511	2017-01-07	2017-04-22
12646	90586	2016-08-29	2016-12-22
12648	89766	2018-04-23	2018-10-22
12648	89786	2017-07-08	2018-03-22
12648	89788	2018-04-07	2018-10-22
12648	89800	2017-05-22	2017-06-23
12648	90228	2016-10-07	2017-05-07
12648	90297	2015-10-07	2016-09-22
12648	90301	2015-06-08	2015-09-22
12650	89629	2017-07-23	2018-05-23
12650	89630	2018-06-07	2018-10-22
12650	89658	2017-05-22	2017-05-22
12650	89972	2015-03-20	2015-03-20
12651	89632	2018-06-07	2018-10-07
12651	89633	2018-10-22	2018-10-22
12651	89637	2017-06-23	2018-05-23
12651	89664	2017-05-22	2017-05-22
12651	89973	2015-03-20	2017-05-07
12651	89982	2015-04-08	2016-03-22
12652	89401	2018-06-07	2018-10-22
12652	89635	2017-06-23	2017-12-06
12652	89662	2017-05-22	2017-05-22
12652	89972	2016-04-07	2017-05-07
12653	89636	2017-06-23	2018-01-07
12653	89663	2017-05-22	2017-05-22
12653	89706	2017-06-23	2018-01-07
12653	89974	2015-03-20	2017-05-07
12653	89983	2015-04-08	2016-03-22
12654	89634	2018-06-07	2018-10-22
12654	89636	2018-01-08	2018-05-23
12654	89665	2017-05-22	2017-05-22
12655	92286	2015-07-22	2015-10-07
12656	89737	2017-06-23	2018-10-22
12656	89988	2015-03-20	2017-05-07
12657	89748	2017-06-23	2017-07-22
12657	89989	2015-03-20	2017-05-07
12658	89550	2017-05-22	2018-10-07
12658	89998	2015-06-08	2016-08-07
12658	90005	2015-03-20	2015-04-08
12658	90486	2017-01-07	2017-04-22
12658	90487	2017-05-07	2017-05-07
12658	90569	2016-08-29	2016-12-22
12658	90575	2016-08-29	2016-11-15
12658	93739	2018-10-22	2018-10-22
12659	89990	2015-03-20	2017-04-07
12660	90079	2015-06-08	2016-01-22
12661	89992	2016-10-07	2017-05-07
12661	90001	2015-03-20	2015-09-22
12662	89740	2017-06-23	2018-10-22
12662	89993	2015-03-20	2016-03-22
12663	89755	2018-06-23	2018-10-22
12664	89741	2017-06-23	2018-03-22
12666	89680	2018-04-07	2018-10-22
12669	90002	2015-03-20	2015-07-22
12670	89671	2017-08-22	2018-10-22
12670	89674	2017-06-23	2017-07-23
12670	89678	2018-03-07	2018-03-22
12670	89682	2018-04-07	2018-10-22
12670	89685	2017-06-23	2018-03-22
12670	89994	2016-08-07	2017-05-07
12670	90000	2015-06-08	2016-07-22
12670	90003	2015-03-20	2015-04-08
12671	89752	2017-06-23	2018-10-22
12671	89996	2016-08-29	2017-05-07
12671	89999	2015-06-08	2016-08-07
12671	90004	2015-03-20	2015-04-08
12671	90076	2015-03-20	2017-05-07
12675	89548	2017-11-28	2018-04-23
12675	89560	2017-05-22	2017-09-23
12675	90009	2015-03-20	2015-06-08
12675	90493	2017-01-07	2017-04-22
12675	90494	2017-05-07	2017-05-07
12675	90577	2016-07-22	2016-12-22
12675	90579	2015-09-07	2016-07-06
12675	90610	2015-07-22	2015-07-22
12676	90010	2015-03-20	2016-03-22
12676	90157	2017-02-22	2017-05-07
